# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186582960899031036e+00 3.309166245715529642e-01 1.196052660475152685e+01 3.428055927181918039e-02 -9.321366614941655193e-01 5.914468971311799272e+00 9.904315667471762230e-03 3.405456127429943441e-02 5.845416665194545836e+00 2.748780194295965054e-02 2.012782975190680057e-01 1.536610235167138469e-03 2.012782975190680057e-01 -1.358016967773437500e+00 -6.516848332344499006e+00 1.798789580108916297e+01 8.154649878610049224e-04
1.185879335982327643e+00 3.252710956451034807e-01 1.188971551926210957e+01 4.372497708201954214e-02 -1.940151462000653249e+00 5.614843513228908733e+00 1.153183522868739090e-02 9.426125478562018614e-03 6.814934251068153870e+00 2.634614381840238301e-02 2.039954407701929373e-01 1.462682568558032990e-04 2.039954407701929373e-01 -3.784210205078125000e+00 -6.693034088719040042e+00 1.798789580108916297e+01 6.042358410961051355e-05
1.185821868816747227e+00 3.249896546069531711e-01 1.189704761062129101e+01 3.913817434779626875e-02 8.775508896242820711e-01 5.744844095065013256e+00 1.703288247481670251e-02 2.455156825093613576e-02 3.192504405612126561e+00 2.319807075460721471e-02 2.038399855319672493e-01 1.000000000000000056e-01 2.038399855319672493e-01 -2.662689208984375000e+00 -6.618862975303216878e+00 1.798789580108916297e+01 1.997510025443883033e-04
1.185909113588419661e+00 3.247657578692902391e-01 1.189304751594512588e+01 4.273004481790942943e-02 -2.050187694867380284e+00 5.865966966911604352e+00 1.532093971219662676e-02 6.283771132070759338e-03 7.183401834178306800e-01 2.507526718443863281e-02 2.040082200722201922e-01 1.172555024551495234e-04 2.040082200722201922e-01 -2.078506469726562500e+00 -6.550212976310585411e+00 1.798789580108916297e+01 3.837166316938285765e-04
1.186301688062878279e+00 3.271513275228784545e-01 1.192167105061893473e+01 4.119415443831346557e-02 4.964594075153440644e-01 5.822749844841512257e+00 2.367777204112133521e-02 3.168667992963776492e-02 6.553272050909259683e+00 2.723795959697911800e-02 2.029249993998570867e-01 4.140620102120228657e-02 2.029249993998570867e-01 -2.325057983398437500e+00 -6.572264548631307157e+00 1.798789580108916297e+01 2.933308802213236842e-04
1.186306516608073958e+00 3.245416765393013270e-01 1.189593866533875754e+01 4.572549677837646487e-02 4.964980264095708584e+00 5.921034963243990035e+00 5.004737504739400003e-03 9.468249161065188726e-03 3.276429971048068879e+00 2.657915646848280078e-02 2.040776334828316996e-01 1.000000000000000056e-01 2.040776334828316996e-01 -2.752502441406250000e+00 -6.519000430765800047e+00 1.798789580108916297e+01 2.017684828806151425e-04
1.185587392882682334e+00 3.300675881757775265e-01 1.194125511382806160e+01 3.332562348558163606e-02 -3.294230209752820326e-01 6.399201129607382299e+00 2.959817262373089577e-02 2.862957626575921011e-02 8.948025276562834307e-01 2.547026474941147325e-02 2.016805065216472070e-01 6.273553421826011910e-03 2.016805065216472070e-01 -4.353103637695312500e+00 -6.250034632136959978e+00 1.798789580108916297e+01 5.327597707779336926e-05
1.185750302818571189e+00 3.321869961850598685e-01 1.195840072697101952e+01 3.037326857588023427e-02 -2.523563868009224720e+00 5.647500455482453496e+00 3.180408377265112746e-02 2.552593213141527220e-02 6.527446388039841452e-01 2.595488085816527804e-02 2.008737595883293148e-01 3.915430119940283986e-05 2.008737595883293148e-01 -7.315826416015625000e-01 -6.668255771625400286e+00 1.798789580108916297e+01 1.311314534730020302e-03
1.185709800130669622e+00 3.297695353036898536e-01 1.193432348820840083e+01 3.105622249129509280e-02 6.513377765401181740e+00 5.843827636141623927e+00 4.980066507349804189e-02 1.624609904677587133e-02 3.709178329870381319e+00 2.341647376243410211e-02 2.019508278318239425e-01 1.000000000000000056e-01 2.019508278318239425e-01 -6.339569091796875000e-01 -6.558505937853458256e+00 1.798789580108916297e+01 1.613499886073842130e-03
1.185902927289554043e+00 3.318570956419393259e-01 1.196291998345561858e+01 3.196417976404863914e-02 1.296975766464316004e+00 5.367728445573664686e+00 3.435166479684448326e-03 4.194687595231625515e-02 3.114500459200223226e+00 2.682965162951232371e-02 2.008576387955538500e-01 1.000000000000000056e-01 2.008576387955538500e-01 -3.437530517578125000e+00 -6.830605070225521658e+00 1.798789580108916297e+01 7.447683966798193721e-05
1.186076532856124688e+00 3.312530521218204349e-01 1.195596541636251331e+01 3.051301281136564736e-02 -2.624906961566520813e+00 6.072498002886018043e+00 2.648967154447587694e-02 3.027828361252177941e-02 5.610174291871386387e+00 2.485502932280618180e-02 2.012006737392821876e-01 3.119702373386759982e-05 2.012006737392821876e-01 -3.950805664062500000e-01 -6.428437531375880809e+00 1.798789580108916297e+01 2.333455955008290235e-03
1.186029562763492029e+00 3.272176920210447815e-01 1.190625158382385784e+01 3.856686207367208963e-02 5.245001241959039717e+00 6.158747396145107800e+00 2.005600655057793169e-02 3.682311332264399939e-02 8.024054872107457825e-01 2.563134009297256613e-02 2.032452743839555653e-01 1.000000000000000056e-01 2.032452743839555653e-01 -3.670333862304687500e+00 -6.384152638578996175e+00 1.798789580108916297e+01 9.221633527351787802e-05
1.185921288306975852e+00 3.268138435353908910e-01 1.190415723006090687e+01 3.716111369847806267e-02 5.145907915376431774e+00 6.124018435446369146e+00 3.499682533521242950e-02 3.512924419098593931e-02 6.382558515205572824e+00 2.417706093087951605e-02 2.033458921309225231e-01 1.000000000000000056e-01 2.033458921309225231e-01 -2.853698730468750000e+00 -6.403850658354403258e+00 1.798789580108916297e+01 2.046035898564214711e-04
1.186769558171401950e+00 3.291548780274416441e-01 1.194949478090746453e+01 3.390286361985613006e-02 6.503819114204956620e+00 5.823637188695068190e+00 3.876529024689733677e-02 3.198783229987078869e-02 4.561950299365348904e+00 2.483233874894471768e-02 2.019474192386838673e-01 1.000000000000000056e-01 2.019474192386838673e-01 -6.009368896484375000e-01 -6.569598686558376421e+00 1.798789580108916297e+01 1.649270275356422765e-03
