# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185640251898746111e+00 2.079740993291079657e-03 1.166943964527883359e+01 2.117801183654015595e+00 8.057288499066402210e+00 6.199767582931889010e+00 3.264119417413956226e-02 2.532112221128266644e-02 1.336840316411783469e+00 1.046474084406679404e-02 2.402333231566120553e-01 1.000000000000000056e-01 2.402333231566120553e-01 -5.661346435546875000e+00 -6.497696983640776303e+00 1.384897892839439315e+01 2.745682911853168197e-06
1.186503995271352530e+00 1.148145579531019943e-02 1.157638173155893391e+01 2.477194148345054359e+00 2.371365887160196806e+00 5.941224515081287016e+00 2.284264087728706677e-02 1.966207408376063545e-02 6.643425250900650170e+00 1.206028128458756787e-02 2.419602549277153347e-01 1.000000000000000056e-01 2.419602549277153347e-01 -3.845764160156250000e+00 -6.640870803901719022e+00 1.384897892839439315e+01 1.462069927297907390e-05
1.186550498785848173e+00 5.429970865869814325e-03 1.164453945670316060e+01 2.495073782235876170e+00 -1.516205368803287046e+00 6.257209004177678224e+00 2.832332251482037877e-02 5.422222620641639623e-03 2.416149405366972758e+00 1.226624316572829873e-02 2.408107303262405630e-01 4.246516956580966766e-04 2.408107303262405630e-01 -1.403717041015625000e+00 -6.465257152330261547e+00 1.384897892839439315e+01 2.003566550757492916e-04
1.186423127397098432e+00 4.227038306178087894e-03 1.166259816085772094e+01 2.475269657140610313e+00 1.028956196199283801e-01 6.132272393009682077e+00 5.000114986639551257e-02 5.363756717564863857e-02 2.814031719045322788e+00 1.221169222360473164e-02 2.404801418151078507e-01 1.794992592457105018e-02 2.404801418151078507e-01 -1.661895751953125000e+00 -6.534369736984260157e+00 1.384897892839439315e+01 1.444318482932904161e-04
1.185713804563272467e+00 7.609652814991766517e-03 1.160464012307936699e+01 2.374990459143631938e+00 5.443504445117866908e+00 5.973601423527545862e+00 1.801930734114742805e-02 4.037621877562851125e-02 5.761733112681845626e+00 1.160157092131891034e-02 2.413532331542014298e-01 1.000000000000000056e-01 2.413532331542014298e-01 -4.757263183593750000e+00 -6.623439494750450685e+00 1.384897892839439315e+01 5.979701012367341641e-06
1.186420896100314426e+00 6.393582009070347856e-03 1.163885346002611954e+01 2.244120398258231841e+00 1.738998772204485954e+00 6.186565707332950304e+00 4.378043775558498191e-02 2.227561179640269451e-02 2.772539341024729431e+00 1.102895298608727766e-02 2.408837813031821651e-01 1.000000000000000056e-01 2.408837813031821651e-01 -5.266937255859375000e+00 -6.504285964344505011e+00 1.384897892839439315e+01 4.046490761719213108e-06
1.185977053679288629e+00 1.171810278506191585e-02 1.156710001395612508e+01 2.448371740688524145e+00 5.857014833309825974e-01 5.896773628365883368e+00 7.371343020072459139e-03 3.854427803238221623e-02 6.666365934463227561e-01 1.190597732981916665e-02 2.420313068131516032e-01 5.348918996171560941e-02 2.420313068131516032e-01 -4.479431152343750000e+00 -6.666344945403159805e+00 1.384897892839439315e+01 7.563220937395682013e-06
1.186422973127602809e+00 1.711788948619929465e-03 1.167900601864379695e+01 2.488454059965324650e+00 -3.136840766849159579e+00 6.326662814615030328e+00 2.072885908437616803e-02 4.312186565758519691e-02 5.426183671553557630e+00 1.230812714313179318e-02 2.402016624016832247e-01 9.991069607618463131e-06 2.402016624016832247e-01 -1.061798095703125000e+00 -6.427313408428468655e+00 1.384897892839439315e+01 2.929382227686323911e-04
1.186000668075766651e+00 6.961320353774356172e-03 1.161436186966681738e+01 2.489487026455486696e+00 5.795207561969780485e+00 5.452488604444718945e+00 2.097410185175991107e-02 4.027398726905304094e-02 2.839528461785127078e+00 1.217653927863086849e-02 2.412356139614489914e-01 1.000000000000000056e-01 2.412356139614489914e-01 -5.255310058593750000e+00 -6.921013543190215778e+00 1.384897892839439315e+01 2.698644595614317390e-06
1.185501284756766749e+00 1.202915433191949907e-02 1.156085700857707721e+01 2.452301751407911290e+00 7.404953369454761791e+00 6.281847486705401273e+00 3.898500505302555236e-02 3.552028355039967000e-02 1.980135473881422747e+00 1.192153161800796161e-02 2.420572488557720670e-01 1.000000000000000056e-01 2.420572488557720670e-01 -3.654815673828125000e+00 -6.452471608460314201e+00 1.384897892839439315e+01 2.136568146336344028e-05
1.185706108634393185e+00 8.445449126996942748e-04 1.168794793628484285e+01 2.454023668738714026e+00 -2.578520988762341482e+00 6.151074415018283226e+00 1.518430298522102304e-03 1.283300718119301026e-03 7.402481012490929935e+00 1.217013766696781012e-02 2.399269405640340191e-01 3.675033032905057010e-05 2.399269405640340191e-01 -6.876525878906250000e-01 -6.524572276245949709e+00 1.384897892839439315e+01 3.863904485612067521e-04
1.186142181827851028e+00 2.831129015039274884e-03 1.167240068745028658e+01 2.477454295589572641e+00 5.593801424410034251e+00 5.892059744149270806e+00 1.055487581449357330e-02 3.131743808668558532e-02 6.921475823230109903e+00 1.224507098208002694e-02 2.402662995920202826e-01 1.000000000000000056e-01 2.402662995920202826e-01 -1.876037597656250000e+00 -6.669020574354679098e+00 1.384897892839439315e+01 1.019023574720833754e-04
1.186520410359267252e+00 6.223147403981965989e-03 1.163829712434781172e+01 2.467267290691034010e+00 -6.789097758349498246e-01 6.253305984425883146e+00 4.599379270921541418e-02 2.030923531645456234e-02 6.118672672715372407e+00 1.212028814412030760e-02 2.409110332502540919e-01 2.944218210777983357e-03 2.409110332502540919e-01 -2.047729492187500000e+00 -6.467417258654839962e+00 1.384897892839439315e+01 1.049964454032995654e-04
1.186609753793038680e+00 1.108563204987227595e-04 1.171601388914530162e+01 2.493477581354763384e+00 4.557241523693386753e+00 6.047729056123643865e+00 1.153839424196137844e-02 1.437261782362106791e-02 7.775498981325680070e+00 1.242326146504074691e-02 2.395985968054411552e-01 1.000000000000000056e-01 2.395985968054411552e-01 -1.474334716796875000e+00 -6.581273784698228546e+00 1.384897892839439315e+01 1.662453560529654636e-04
1.185764692430232525e+00 4.791569432195033206e-04 1.168686644167892474e+01 2.472171585906782987e+00 2.235745814029851175e+00 6.587049382403272091e+00 4.466390924363989462e-02 1.930062116341316886e-02 4.487785048160791490e+00 1.225603282270420862e-02 2.399556134317517020e-01 1.000000000000000056e-01 2.399556134317517020e-01 -2.923156738281250000e+00 -6.286813537737677038e+00 1.384897892839439315e+01 5.241029131088907492e-05
1.185719944516094193e+00 1.367444472066814453e-03 1.170854001499447072e+01 2.498793160876879860e+00 -2.018102296979598531e+00 5.942115344896373053e+00 2.764311230773660796e-02 1.767698728627885990e-02 6.468826780759668438e+00 1.244535487911179947e-02 2.395755422276893976e-01 1.436150654925542100e-04 2.395755422276893976e-01 -5.518127441406250000e+00 -6.641186841794679552e+00 1.384897892839439315e+01 2.744939305873063469e-06
