# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186235254975840148e+00 4.701571099087733380e-02 1.637039742105345397e+01 9.830635201583111105e-01 6.840934642462476845e+00 5.870668694395154041e+00 5.511645679668484427e-02 2.477398585264766265e-02 1.102325545843542365e+00 2.419043902732843920e-02 1.812456552811234634e-01 1.000000000000000056e-01 1.812456552811234634e-01 -3.001708984375000000e+00 -6.678376717781299376e+00 1.234728253479062765e+01 9.156539307666731702e-06
1.185755396413973095e+00 4.738418456944082369e-02 1.670245285185569628e+01 2.974497011033552241e-01 7.489791744722518629e+00 5.899778165300965327e+00 6.359691273973692993e-02 3.644987803429077661e-02 4.553582898503871768e+00 2.403618262702333572e-02 1.782852642157729539e-01 1.000000000000000056e-01 1.782852642157729539e-01 -1.621307373046875000e+00 -6.662304540921259566e+00 1.234728253479062765e+01 3.700089459695816914e-05
1.185606621127714755e+00 4.805844560466040333e-02 1.683065162651834612e+01 1.923984745205988001e-01 6.608645757403402321e+00 5.724608263667681385e+00 2.615797365004885952e-02 1.108071154135587162e-02 7.239780460359185099e+00 2.787868527396972218e-02 1.771471360272103279e-01 1.000000000000000056e-01 1.771471360272103279e-01 -3.804061889648437500e+00 -6.761763686166302634e+00 1.234728253479062765e+01 3.776238577173503282e-06
1.186303405331489591e+00 4.940158632062796595e-02 1.667529265774088643e+01 2.887661231320095556e-01 -2.536712593658280390e+00 5.837246013870613481e+00 5.277277481671605736e-02 2.869744069143744664e-02 2.271637158763197384e+00 2.279591170211679382e-02 1.784673986910839671e-01 3.946892381061495585e-05 1.784673986910839671e-01 -2.932525634765625000e+00 -6.696954524005310994e+00 1.234728253479062765e+01 9.631835845908550572e-06
1.185606224387777408e+00 4.746818876314954500e-02 1.651935223996757784e+01 5.956269898635085935e-01 3.119641686440023598e+00 6.120291053818904814e+00 4.854369616595638481e-02 9.440882253726173151e-03 3.148526771520820056e+00 2.420127341168097981e-02 1.798372138885953042e-01 1.000000000000000056e-01 1.798372138885953042e-01 -3.148498535156250000e+00 -6.539022061914385731e+00 1.234728253479062765e+01 9.088713850145605769e-06
1.185684114760869878e+00 4.666974008355148640e-02 1.688373482479903132e+01 1.672448929605290791e-01 -1.653459228834286143e-01 5.342661293053676097e+00 2.155655005496587284e-02 3.147736146594082296e-02 3.881881564936489504e+00 2.911483769565383420e-02 1.767915789227818557e-01 8.688002430711562127e-03 1.767915789227818557e-01 -4.795364379882812500e+00 -6.982871915652687278e+00 1.234728253479062765e+01 1.123352714802531645e-06
1.185579356651687233e+00 4.748287689927344762e-02 1.647278544668494860e+01 7.583890413316921597e-01 9.565367734628134500e+00 5.384852362528355307e+00 2.335397993872609726e-02 1.921278759792861487e-02 6.413214178317452330e+00 2.631109552225209883e-02 1.802391612573578938e-01 1.000000000000000056e-01 1.802391612573578938e-01 -5.145278930664062500e+00 -6.958167447095111591e+00 1.234728253479062765e+01 8.114825682620415627e-07
1.185646845107318992e+00 4.696100723015815548e-02 1.617876913856473564e+01 1.815001565940384642e+00 5.269597491595455097e+00 6.347970076114576088e+00 4.611795085473503059e-02 4.650809799926276800e-02 3.433944809636898299e+00 2.621304251216070164e-02 1.828930650001411307e-01 1.000000000000000056e-01 1.828930650001411307e-01 -7.098892211914062500e+00 -6.413677412879216000e+00 1.234728253479062765e+01 1.982917951660385323e-07
1.186093357031191342e+00 4.582916843298318055e-02 1.704258911923247766e+01 6.362476066688127485e-02 -4.613632391859432857e+00 5.596512304077058353e+00 5.414169936413538997e-02 2.473054291257823639e-02 6.459853422820770241e+00 2.380278449969423435e-02 1.755770081575275254e-01 3.028666970331966448e-07 1.755770081575275254e-01 -2.193222045898437500e+00 -6.835077921438926118e+00 1.234728253479062765e+01 1.757107417618780046e-05
1.186306883607069373e+00 4.880630543169416080e-02 1.658339149406502600e+01 4.234011975407646622e-01 5.850477703836567400e+00 5.812274724599964415e+00 5.503079302754371183e-02 9.857206917638548782e-03 5.091394150345966096e+00 2.285887511760625532e-02 1.792917006545526326e-01 1.000000000000000056e-01 1.792917006545526326e-01 -2.494110107421875000e+00 -6.711180875459448636e+00 1.234728253479062765e+01 1.472082299515707149e-05
