# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185795730822896132e+00 1.408615251052253436e-01 1.798160712678097894e+01 1.182547770142303056e+00 -8.311335968026036802e-01 2.350780877662786983e-01 5.655308019486568583e+00 4.000461599062952317e-03 1.084024277552733673e-02 1.581477123595533163e+00 1.932476790557602006e-02 1.398389832025787038e-01 2.602610560413859062e-02 1.398389832025787038e-01 -3.653106689453125000e-01 -3.386417604535457038e+00 1.351895117992415862e+01 1.184704537182583808e-04
1.185950848896349719e+00 2.249738021681748495e-02 1.782582363812293735e+01 1.441268274110370395e+00 -8.291225682494438587e-01 3.390097997621345782e-01 5.768723737599231072e+00 1.669950210753400402e-02 2.179745189803079103e-02 1.125742160026697292e+01 1.862804076734904737e-02 1.444796649329388727e-01 2.616998054415929989e-02 1.444796649329388727e-01 -1.269592285156250000e+00 -3.344909765476944408e+00 1.351895117992415862e+01 4.999334100318161844e-05
1.185936761849967436e+00 1.276615320713065660e-01 3.222734491743042895e+01 2.659760025972444986e+00 -8.252691545369625903e-01 -8.705235712254089098e-01 5.792661118088350491e+00 1.944440588046890753e-02 9.774717861382169193e-03 1.335335668524893116e+01 2.122575245868240854e-02 1.489424666315251056e-01 2.645889746397242850e-02 1.489424666315251056e-01 -1.591720581054687500e+00 -3.312196159572937670e+00 1.351895117992415862e+01 3.743009749448872504e-05
1.186003091216409011e+00 2.552744554541818908e-02 1.593084466472206984e+01 1.315312347766221190e+00 -8.358183777723099395e-01 3.567353771578439803e-01 5.817130873831478866e+00 2.345954263304360007e-03 3.632956939246249906e-02 5.970729470941957828e+00 2.136846330946053085e-02 1.565021496839168191e-01 2.566456918514601823e-02 1.565021496839168191e-01 -3.894271850585937500e+00 -3.317182044135494223e+00 1.351895117992415862e+01 3.724519955552437162e-06
1.186378826355705796e+00 1.696637724244197121e-01 1.313152768653089453e+01 5.422680362502317886e-01 -7.804189030678624350e-01 7.824152660008543148e-01 5.768252897702996762e+00 4.195944108880803741e-02 3.783889417599568990e-03 8.183311889225912239e+00 1.854465701093084215e-02 1.409793993123817091e-01 2.593828037928713401e-02 1.409793993123817091e-01 -1.171676635742187500e+00 -3.310374620671975965e+00 1.351895117992415862e+01 5.707353995032301967e-05
1.186544890035406752e+00 2.579623972727039805e-01 1.429656428788411127e+01 -1.074870278496784654e-01 -7.793713240676699572e-01 3.604135260665042306e-01 5.465042284421299357e+00 1.026343872068221329e-02 2.726865875431387989e-02 6.640247367578639093e+00 1.980322560001459425e-02 1.434834129055049534e-01 2.724595337171152251e-02 1.434834129055049534e-01 -8.365783691406250000e-01 -3.437097428159091805e+00 1.351895117992415862e+01 7.029608237026352933e-05
1.186112979942171020e+00 4.568696258657475168e-02 1.572456120669557933e+01 1.278986196835782074e+00 -8.379516225073925240e-01 5.617032049193830812e-01 5.594150518759731128e+00 2.108807955667294648e-02 2.267750274396119342e-02 7.807186988716659393e+00 2.154649062427861986e-02 1.424795525948086006e-01 2.551006242878608304e-02 1.424795525948086006e-01 -1.564514160156250000e+00 -3.442858705757724014e+00 1.351895117992415862e+01 3.375130223590653834e-05
1.185759580951931236e+00 1.638295805707254416e-01 2.107587923188955514e+01 1.347409468647184472e+00 -8.236734882981699979e-01 -1.179524966725353785e-01 5.452787983484449263e+00 1.105243346986709355e-02 1.789445345819397348e-02 1.088677422250843563e+01 1.858455333410694715e-02 1.384629748129831972e-01 2.652604952215766379e-02 1.384629748129831972e-01 -2.438964843750000000e-01 -3.494873350207747364e+00 1.351895117992415862e+01 1.200156358054850112e-04
1.186926581937046699e+00 5.833694406976735330e-02 2.187411506823292129e+01 1.836019010332513135e+00 -8.187595103037768052e-01 5.238883904497862454e-02 5.520166271339416397e+00 2.075291891039599337e-02 5.211400147230316193e-03 1.043619106807875241e+01 2.060542189797248680e-02 1.402944813575296157e-01 2.684571072699910507e-02 1.402944813575296157e-01 -6.282653808593750000e-01 -3.483331284142009654e+00 1.351895117992415862e+01 8.266490958529202119e-05
1.187102674884922937e+00 1.847697059481343343e-02 1.946991507616894879e+01 1.645243382059308423e+00 -8.347173733386542560e-01 1.829424161385616587e-01 5.575239036381310243e+00 8.706509186592163024e-03 6.902451665170302939e-03 1.348220663244796835e+00 2.058756428666773386e-02 1.458938830311832247e-01 2.586242315453165380e-02 1.458938830311832247e-01 -6.602935791015625000e-01 -3.455026871303886971e+00 1.351895117992415862e+01 8.235765563049292771e-05
1.185607467510848112e+00 4.531902704726332998e-02 2.786509150264440748e+01 2.453280557932258965e+00 -8.279202143135597769e-01 -2.594596928545029879e-01 5.347706440979905551e+00 2.156321548580007394e-02 2.016615544041336361e-02 3.472241000622637852e+00 2.142998764730838501e-02 1.380585401031976522e-01 2.629713825320817780e-02 1.380585401031976522e-01 -2.033660888671875000e+00 -3.586549398929128163e+00 1.351895117992415862e+01 1.828683824785241787e-05
1.186768947632827587e+00 2.797264866880255427e-02 1.929817893265696682e+01 1.597814179354826614e+00 -8.200651519604548190e-01 2.726403283289012824e-01 5.520605307625849889e+00 1.244417349881074726e-02 2.336682579471799359e-02 4.848703523738416621e+00 1.943544482589481745e-02 1.402777948007267461e-01 2.674775466356863959e-02 1.402777948007267461e-01 -1.138916015625000000e-01 -3.486361292009515722e+00 1.351895117992415862e+01 1.378462555229458008e-04
1.185579917586104370e+00 1.327204636925646830e-02 1.876508398636707042e+01 1.534701114089032092e+00 -8.203194016206951655e-01 2.807904561694248291e-01 5.950312642018806386e+00 1.441330751190441880e-04 1.897053052114858196e-02 3.096958155340458152e+00 1.852725515832439815e-02 1.430066807247625804e-01 2.672612369955067180e-02 1.430066807247625804e-01 -2.335540771484375000e+00 -3.242908518655748029e+00 1.351895117992415862e+01 1.906668511173031754e-05
1.186985336633380905e+00 9.754309316115203354e-02 1.981116898998682530e+01 1.477674147281902606e+00 -8.144620792151580080e-01 8.501821603531251048e-02 5.295334352632146135e+00 2.815794099454449473e-02 1.688597764141020960e-02 1.271068352776282495e+01 1.754216433945220491e-02 1.449117574534758424e-01 2.709433731001164095e-02 1.449117574534758424e-01 -2.086578369140625000e+00 -3.607132477124740166e+00 1.351895117992415862e+01 1.699095291608004665e-05
1.185805378528524745e+00 1.520267979394213653e-01 1.644920432362615159e+01 9.872880483935853047e-01 -8.253022440671913262e-01 4.582082340129948195e-01 5.529790874228972086e+00 1.943199388600129127e-02 2.868444556224052783e-02 6.880811470100817395e+00 1.965391104469006375e-02 1.345083668801063392e-01 2.627489325854175453e-02 1.345083668801063392e-01 -1.238952636718750000e+00 -3.454734403293838962e+00 1.351895117992415862e+01 4.618729809338901311e-05
1.186769981791445883e+00 7.566750789410622846e-02 2.250863303523566827e+01 1.807794364669137677e+00 -8.030020686809135055e-01 -1.043361043949374567e-01 5.218655817659412222e+00 1.658256613681142674e-02 3.645301707568101429e-03 8.935643353553328616e-01 1.808270600679752135e-02 1.463773860158134599e-01 2.783935255497522326e-02 1.463773860158134599e-01 -3.050796508789062500e+00 -3.657114623816189791e+00 1.351895117992415862e+01 6.162488878433363623e-06
1.186312138248242443e+00 1.444627559889034157e-02 1.903195386493345254e+01 1.580069425499117663e+00 -8.242114627428640539e-01 2.087723777767709898e-01 5.805131070760856993e+00 2.025866623569166913e-02 1.336864201024136334e-02 2.258476904477959124e+00 1.942580812097805323e-02 1.465924544302019683e-01 2.649095336649690338e-02 1.465924544302019683e-01 -1.286666870117187500e+00 -3.324263820320476182e+00 1.351895117992415862e+01 5.017220443403967023e-05
1.186134065431267315e+00 5.584657297672691867e-03 1.617582830586916387e+01 1.329443652281647292e+00 -8.214141675549552213e-01 6.062396924562832856e-01 5.310862195192317614e+00 2.383759330355411307e-02 1.987830757507439913e-02 1.011418061812675262e+01 2.050137342264393703e-02 1.371070811497782926e-01 2.655540352458871101e-02 1.371070811497782926e-01 -1.633438110351562500e+00 -3.610156281732887162e+00 1.351895117992415862e+01 2.665022185043234307e-05
1.186782327441512797e+00 7.881847321436778742e-02 2.936954800008371436e+01 2.467306867543861415e+00 -8.202860420547204434e-01 -5.050216478718358992e-01 4.416301883571571274e+00 1.829575188213144674e-02 1.706960784388808234e-03 1.748147630527829222e+01 1.817027207152383667e-02 1.456361867843183333e-01 2.676383144893278859e-02 1.456361867843183333e-01 -7.493789672851562500e+00 -4.143786800484976496e+00 1.351895117992415862e+01 4.454815205908787201e-08
1.187269720930050898e+00 4.453125157231529324e-02 1.716478467830811994e+01 1.397975916378946026e+00 -8.173968834023039864e-01 3.374668115435767168e-01 5.410248865253914019e+00 2.403058753088510233e-02 1.423024006004412756e-02 3.629062792739610188e+00 2.053084324890457751e-02 1.483051709078214986e-01 2.685857252006125517e-02 1.483051709078214986e-01 -1.085479736328125000e+00 -3.548656096757283773e+00 1.351895117992415862e+01 4.902135571931603351e-05
1.186226726383676100e+00 2.192391708971428155e-01 2.142658114772018507e+01 9.950364514558305284e-01 -8.103574045455144148e-01 -4.661292052565423338e-01 5.474694461295301906e+00 8.763909559567920060e-03 4.220250652857287371e-03 1.268670485070380494e+01 1.944661478947899355e-02 1.412996288498159780e-01 2.733455198068421299e-02 1.412996288498159780e-01 -7.995452880859375000e-01 -3.455278967401647083e+00 1.351895117992415862e+01 7.163384170170325981e-05
1.186036793306968873e+00 1.973603293198863684e-01 2.960119117814728540e+01 2.006001628694491945e+00 -8.146103155514039518e-01 -1.091402613515228603e+00 5.590790445371544237e+00 1.376917680230018565e-02 1.392665952934028090e-02 1.035068394043261231e+00 2.111031647491959720e-02 1.428736486951473483e-01 2.711012829833161705e-02 1.428736486951473483e-01 -1.199996948242187500e+00 -3.399690746604831837e+00 1.351895117992415862e+01 5.073947323210933208e-05
1.185809320620795360e+00 2.095465796899260158e-01 1.492747820939595016e+01 4.384487258403858556e-01 -8.247135791249089465e-01 4.523526432666207242e-01 5.432035577259624937e+00 2.173974368137074689e-02 7.394476006753638100e-03 6.943449842629160429e+00 1.886439010788323878e-02 1.391927960822820776e-01 2.576117001655452848e-02 1.391927960822820776e-01 -1.178070068359375000e+00 -3.485680305721072347e+00 1.351895117992415862e+01 4.759089651087598344e-05
1.185820625716313748e+00 1.526142021995921527e-01 1.659156263891702565e+01 1.011277556551646528e+00 -8.254087076548802804e-01 4.138371658482816740e-01 5.425359306762888245e+00 3.074118780437608560e-04 1.571963833177556641e-02 9.691291489876835641e+00 2.026184445275397775e-02 1.362612656680593504e-01 2.628165996849510591e-02 1.362612656680593504e-01 -1.237716674804687500e+00 -3.515165691666264802e+00 1.351895117992415862e+01 4.353257466759072444e-05
1.185890311848171397e+00 7.973324326662544620e-03 3.467487548312979584e+01 3.047525916966268511e+00 -8.177692552675621673e-01 -4.785276240388605107e-01 5.084534063051285635e+00 2.842833635146657656e-02 2.214024199571626786e-02 7.066058474506272447e+00 1.732031554770616794e-02 1.350447412902632816e-01 2.692225567622867632e-02 1.350447412902632816e-01 -3.442047119140625000e+00 -3.744330034315256128e+00 1.351895117992415862e+01 3.819099698421532678e-06
1.186000947811246986e+00 1.002744571179151750e-01 1.761425811213308634e+01 1.307669409204737843e+00 -8.222378336341932270e-01 3.514792523684635572e-01 5.568690599015892140e+00 1.600825423232325761e-04 4.943503053650736764e-03 3.816896602313609499e+00 1.967831504580132979e-02 1.398753401175771294e-01 2.656769043681163692e-02 1.398753401175771294e-01 0.000000000000000000e+00 -3.448017343159359704e+00 1.351895117992415862e+01 1.605129338560802718e-04
1.185704487033785171e+00 7.687651472333959478e-03 3.001464541104929751e+01 2.677951648871348844e+00 -8.133679672604526845e-01 -4.038253569175938029e-01 5.620821506164290327e+00 1.629004803682187336e-02 1.086571687309892224e-02 1.143879041879452529e+01 2.089737353536653269e-02 1.429237193128108097e-01 2.719483415670457052e-02 1.429237193128108097e-01 -1.280288696289062500e+00 -3.430285112908221024e+00 1.351895117992415862e+01 4.541389239180743657e-05
1.185509705458532625e+00 1.037834864619849862e-01 3.126360152052074426e+01 2.655718619902723177e+00 -8.424010168933606657e-01 -6.148620269557775186e-01 6.006463588322936253e+00 1.244557213899352699e-02 2.026133916821912934e-02 7.306409187421497364e+00 2.140129329643189471e-02 1.413619679174532295e-01 2.543571265686930816e-02 1.413619679174532295e-01 -3.419281005859375000e+00 -3.198690739196542232e+00 1.351895117992415862e+01 6.742428166920878043e-06
