# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186107420853347083e+00 6.101789794060505541e-03 2.052368347229011292e+01 1.671168092289358809e+00 -8.259125175166074362e-01 2.432037651208480145e-01 5.394476091779342397e+00 3.464316436275158978e-02 3.772713884432829512e-02 7.863926920765235806e+00 1.708036767391374333e-02 1.362156400561253811e-01 2.640185737550795886e-02 1.362156400561253811e-01 -1.638580322265625000e+00 -3.561182676684759851e+00 1.353159261583332729e+01 2.734266620048670361e-05
1.187038496305383717e+00 8.274132993994140484e-02 3.025340834481119145e+01 2.629707317574234260e+00 -8.265245073613671778e-01 -6.337219563231194508e-01 5.611136121217673356e+00 2.670622621285705794e-02 1.598376749950089493e-02 2.709200216870763178e+00 2.216083249025715268e-02 1.511057324126515167e-01 2.638254206625476744e-02 1.511057324126515167e-01 -2.070236206054687500e+00 -3.426560577437034905e+00 1.353159261583332729e+01 2.031611801995928049e-05
1.187626199945291283e+00 1.954967476014354832e-01 1.855774588111739476e+01 9.323013358871521383e-01 -8.160292800344919328e-01 -5.913475815559363080e-02 5.469803803353088689e+00 8.363985399031600293e-03 1.808634316533808128e-02 1.302975165308076200e+01 2.033911782253510978e-02 1.443810237819027620e-01 2.692844287832201269e-02 1.443810237819027620e-01 -5.955657958984375000e-01 -3.469290980036875638e+00 1.353159261583332729e+01 8.505980264958457363e-05
1.186099529072362602e+00 2.928351560420407521e-02 2.689571821253495898e+01 2.299369030524196056e+00 -8.071233537746537179e-01 -2.205777298740738690e-01 5.702745605999851364e+00 3.142763621441729133e-02 4.705589771630258426e-03 4.361890156303270594e+00 1.798212256673515849e-02 1.400051603786093279e-01 2.758630945860520572e-02 1.400051603786093279e-01 -1.516006469726562500e+00 -3.382007630116458330e+00 1.353159261583332729e+01 3.697334493200905527e-05
1.185774253049649118e+00 9.370146746557223016e-02 3.224999561940376935e+01 2.722222219566503121e+00 -8.350065434077578175e-01 -6.610183924381252130e-01 5.578055069686105760e+00 1.164811706014657472e-02 2.788040619316974403e-02 7.694846286987703898e+00 1.870492889891147564e-02 1.438088508917689801e-01 2.587312277388614107e-02 1.438088508917689801e-01 -9.366149902343750000e-01 -3.444349142526590413e+00 1.353159261583332729e+01 6.200699571950092648e-05
1.185637549945893543e+00 9.695884465645931982e-02 2.649473661267588298e+01 2.143225167504707152e+00 -8.077897830662326140e-01 -3.699597853664953195e-01 5.410726456872439805e+00 1.755872317797048734e-02 4.967430716387435594e-03 1.379396695494086345e+01 1.817247785503882038e-02 1.436697035458865124e-01 2.754210213483690786e-02 1.436697035458865124e-01 -1.458847045898437500e+00 -3.540800473934511583e+00 1.353159261583332729e+01 3.340026472312483511e-05
1.187026587984219894e+00 9.395857095955316429e-02 3.360294352776625715e+01 2.884904080658547532e+00 -8.340541819954733205e-01 -6.885324130669649989e-01 5.406121997763218445e+00 1.827130384449702702e-02 2.277453797270631228e-02 7.462502131525240223e+00 2.020596259531208527e-02 1.415632778846908635e-01 2.593029154792621596e-02 1.415632778846908635e-01 -8.183288574218750000e-01 -3.543010746664309263e+00 1.353159261583332729e+01 6.323587240923915617e-05
1.186463698334146555e+00 2.165128938442048290e-01 2.806937732470249358e+01 1.606460993829351480e+00 -8.256803207795642141e-01 -9.973516037392080591e-01 5.859399803241942983e+00 1.152150285963233350e-02 2.684023386921855631e-02 1.044949701928833541e+01 1.708287833474860656e-02 1.331554276890020982e-01 2.642302237346135299e-02 1.331554276890020982e-01 -3.077285766601562500e+00 -3.236017301178974570e+00 1.353159261583332729e+01 8.979177429550012066e-06
1.186029149555569262e+00 1.129498071421430744e-01 2.162254550191208580e+01 1.618407896493938347e+00 -7.985107522729327778e-01 -1.587650640983242489e-01 5.391545473890854367e+00 1.499987603070460779e-02 3.118771835538643698e-03 4.787257596036607055e+00 1.809259811343016597e-02 1.493366661113209315e-01 2.812171667856335627e-02 1.493366661113209315e-01 -4.572921752929687500e+00 -3.547597964084737487e+00 1.353159261583332729e+01 1.473575305755051157e-06
1.186480561228618669e+00 2.548117364149576902e-01 2.022132415953827334e+01 5.383478658398376249e-01 -8.203704960666884372e-01 -5.959214551888214473e-01 5.522012174176628818e+00 5.533722991827687288e-03 8.413164979857700940e-03 1.166798037731704163e+01 2.134398825782013107e-02 1.444936513014048463e-01 2.665737697536161091e-02 1.444936513014048463e-01 -9.119262695312500000e-01 -3.406169462756689637e+00 1.353159261583332729e+01 6.603042451693964343e-05
