# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186195486944442212e+00 3.237390597488227773e-01 1.441821901745953127e+01 -4.187988232275403067e-01 -1.267634570657902193e+00 1.533377120929028115e-01 5.014649893874476128e+00 8.762302725261267300e-03 1.426939417531048609e-02 7.609648004658492448e-01 1.959643272112171139e-02 1.391348192476879464e-01 2.520963114352665208e-02 1.391348192476879464e-01 -4.454727172851562500e+00 -3.940763864945669770e+00 1.477175290103884997e+01 2.779703489774009489e-06
1.185890019982587251e+00 4.753019309614686660e-01 1.193674339469684220e+01 -7.646219576435229204e-01 -1.162348246001693841e+00 4.758232393285385387e-01 5.201638949592937600e+00 7.641313619630450520e-03 1.113687086554743591e-02 5.721587279430119466e+00 1.976251645256084724e-02 1.392207521189607333e-01 2.585097346885428110e-02 1.392207521189607333e-01 -1.878387451171875000e+00 -3.655212412482512274e+00 1.477175290103884997e+01 4.862974777564504588e-05
1.186079232356791024e+00 6.002969328670165750e-01 1.330462404027336376e+01 -1.118464141773732212e+00 -1.303379318940987464e+00 -7.336020624110434207e-01 5.123418696031992958e+00 2.027731891668627107e-02 4.122031319103537823e-03 3.523410179621343286e+00 1.827904670962983771e-02 1.346837155993196589e-01 2.573661648486165118e-02 1.346837155993196589e-01 -3.503021240234375000e+00 -3.472547073642634707e+00 1.477175290103884997e+01 1.149907948726352843e-05
1.185943082308912544e+00 4.329622045307224276e-01 1.360790577080646813e+01 -7.175200149356057988e-01 -1.245996624279141818e+00 -2.015819731952585014e-01 5.735229816249908019e+00 4.922067174914984862e-03 2.373137715223513564e-02 1.055549476791615682e+01 1.912238784695911853e-02 1.432690513037245816e-01 2.670944400461515780e-02 1.432690513037245816e-01 -5.996246337890625000e-01 -3.403192131398822706e+00 1.477175290103884997e+01 2.247567117908302165e-04
1.186111892570507864e+00 3.215554571201507672e-01 1.502975453519302818e+01 -4.475412317766271353e-01 -1.289671303817120362e+00 8.759229043116789626e-02 5.995218113065049259e+00 8.779089866952820634e-03 7.542754764862334531e-03 3.185777054546972131e+00 1.768027860968406778e-02 1.344249994716868457e-01 2.612095207650980827e-02 1.344249994716868457e-01 -3.091766357421875000e+00 -3.374185657280409867e+00 1.477175290103884997e+01 1.914196962130062436e-05
1.185866888576756706e+00 2.852925665200271022e-01 1.672292943696170653e+01 -1.835829789406265289e-01 -1.355983181689222272e+00 -2.738133727574539322e-01 5.493743463134843630e+00 8.305759594103422072e-03 1.849946422833642634e-02 3.929788055342564590e+00 2.051495249933359133e-02 1.482861411394200690e-01 2.656497538596079566e-02 1.482861411394200690e-01 -7.800445556640625000e-01 -3.689440481668273097e+00 1.477175290103884997e+01 1.409422545260516769e-04
1.185529838963824245e+00 4.999311540231273776e-01 1.332887322063101898e+01 -8.831240512127439546e-01 -1.240256648296946151e+00 -3.525649814332548759e-01 5.568176686616827631e+00 1.903796056525510752e-03 1.036462864287382261e-02 1.233237589515284283e+00 1.858428184358790897e-02 1.373971026135038798e-01 2.782640108191976672e-02 1.373971026135038798e-01 -1.720458984375000000e+00 -3.403412066862052665e+00 1.477175290103884997e+01 7.325629994102140618e-05
1.186877755964534042e+00 3.733837196527308167e-01 1.483278163891834645e+01 -5.479754376256603665e-01 -1.300807241080686572e+00 -2.887866865466766075e-01 5.359458606719908147e+00 7.905762936602968999e-03 1.198673052484904890e-02 6.133442845024563717e+00 2.004992729986932246e-02 1.435468801286810536e-01 2.613548359710113345e-02 1.435468801286810536e-01 -7.817535400390625000e-01 -3.688570620396192545e+00 1.477175290103884997e+01 1.408240362308891983e-04
1.186290780257738708e+00 4.219266814403731525e-01 1.320568494607068288e+01 -6.683114240450145349e-01 -1.249837855960297839e+00 1.996772377911423257e-01 5.489994518200187024e+00 3.490413562204353753e-02 1.418470951222605583e-04 2.771250722989110571e+00 1.988686468709495447e-02 1.313057906814331655e-01 2.456813751337800014e-02 1.313057906814331655e-01 -7.185760498046875000e+00 -3.557883300179084163e+00 1.477175290103884997e+01 2.655881451051500667e-07
1.185676776499386520e+00 2.852144047453791798e-01 1.534381642448969174e+01 -2.683878377113609881e-01 -1.298597522689005634e+00 1.562017306847712783e-02 5.663483297155767815e+00 2.237735904121642902e-02 2.467976522295999009e-02 1.595644280263761150e+00 1.974867647325988240e-02 1.465125128851873237e-01 2.565985375663473733e-02 1.465125128851873237e-01 -1.176437377929687500e+00 -3.591743708505642729e+00 1.477175290103884997e+01 1.045488279118601647e-04
