# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186309177477285370e+00 2.750456040979417649e-01 9.741350675997848541e+00 1.180949095122864057e+00 -9.864107906201913245e-01 1.413719626231339177e+00 5.872238122800019333e+00 2.669799556802320006e-02 1.114921231233924857e-02 3.392373892928972623e+00 1.928773042028560439e-02 1.388642941315360868e-01 2.599541994077453344e-02 1.388642941315360868e-01 -1.454498291015625000e+00 -3.479788384451512506e+00 1.404502199508288562e+01 9.040651913322820068e-05
1.185880500282560090e+00 4.157405099450467989e-01 9.023521910504520349e+00 2.290445766691092011e+00 -1.097333445859664858e+00 1.615947386061151292e+00 5.117694214641516304e+00 3.857936849955626024e-02 1.576201403092082620e-02 7.699222790484300916e+00 2.011506908860707585e-02 1.469637063718632064e-01 2.677987208630570881e-02 1.469637063718632064e-01 -1.744491577148437500e+00 -3.784625891228471151e+00 1.404502199508288562e+01 4.987328986463871572e-05
1.186345276722243103e+00 3.522351423587877783e-01 9.826710904972809857e+00 1.577040600724004982e+00 -1.069507813168602883e+00 1.411433909855773772e+00 5.621865518156957897e+00 1.684781235970355881e-02 7.989787677050587400e-03 3.888313413723852641e+00 1.847417098642594943e-02 1.368812036946063793e-01 2.636402200336979834e-02 1.368812036946063793e-01 -2.973480224609375000e-01 -3.557934998559685535e+00 1.404502199508288562e+01 2.659531149208695122e-04
1.186590061750078640e+00 2.959348400554487890e-01 1.011986100430297242e+01 1.242490179605036271e+00 -9.991280185617757992e-01 1.430218491148685267e+00 5.939242877199738757e+00 1.539923293314929449e-02 6.851100926548236297e-03 8.515191272872044692e+00 1.967161016517742292e-02 1.305409259933601462e-01 2.714548105995756924e-02 1.305409259933601462e-01 -6.478225708007812500e+00 -3.426191382248369610e+00 1.404502199508288562e+01 6.276239888604526145e-07
1.186067413489811706e+00 4.467805698159811323e-01 1.011835980158388004e+01 2.330219317888791331e+00 -1.097878342111045624e+00 1.279076232314289463e+00 5.324078592890688633e+00 9.040894399688597163e-03 4.720097412986967896e-03 4.443222848285745208e+00 1.923958093739374861e-02 1.410909716583300388e-01 2.735096084239120248e-02 1.410909716583300388e-01 -1.186065673828125000e+00 -3.622978250614260265e+00 1.404502199508288562e+01 1.024688787093841952e-04
1.186356914840412724e+00 3.700537296196557691e-01 1.147660254085954357e+01 1.179758054066579298e+00 -1.072042623942963901e+00 7.909449886358717041e-01 5.480902109977453307e+00 1.918221744869940890e-02 6.098719907453197713e-04 4.225320827197313278e+00 1.825505304401546861e-02 1.420857772061181745e-01 2.695714944020777618e-02 1.420857772061181745e-01 -4.972686767578125000e-01 -3.621631652863366302e+00 1.404502199508288562e+01 2.043231327942053891e-04
1.185782822746417109e+00 3.589803497795464038e-01 1.029231296898540116e+01 1.486801288680909661e+00 -1.070521460226244503e+00 1.182508923949702861e+00 5.368167954467038427e+00 2.529241621100073584e-02 2.089037738391490845e-02 3.028674350019982864e+00 1.692535344532187722e-02 1.419312452333457708e-01 2.660570185369576929e-02 1.419312452333457708e-01 -2.001220703125000000e+00 -3.699014150368471476e+00 1.404502199508288562e+01 4.202935072810857722e-05
1.187077189548513712e+00 5.111978549866454946e-01 1.104101297171171225e+01 2.577415778906009258e+00 -1.107394753895862838e+00 8.817844177499241098e-01 5.401426891482739023e+00 1.649382886852714114e-03 1.173691659277201118e-03 3.963305679647279423e+00 1.692507041488696545e-02 1.426171563636376705e-01 2.742765344466852745e-02 1.426171563636376705e-01 -2.249847412109375000e+00 -3.480558481508589708e+00 1.404502199508288562e+01 4.078022004158287451e-05
1.185595068540683306e+00 3.123284282321877603e-01 8.176281160377074642e+00 1.537744419708662269e+00 -1.029657423380107018e+00 1.727642562110113023e+00 5.159307891961335990e+00 1.235850486799024671e-02 1.467128559367363244e-03 4.317589491779244781e+00 2.105020779283505242e-02 1.520886687534598047e-01 2.653013597850305272e-02 1.520886687534598047e-01 -2.863952636718750000e+00 -3.864668631616941852e+00 1.404502199508288562e+01 1.502900177767724139e-05
1.185761106018293543e+00 2.900711346414219238e-01 1.277778455434538252e+01 4.545197285720694591e-01 -9.903295244615381021e-01 5.941531764322686149e-01 5.259260944394932302e+00 3.955456276398587601e-02 1.319484150515368333e-02 2.504360265277141728e+00 1.980134778784093871e-02 1.426267835430703457e-01 2.719323111105112489e-02 1.426267835430703457e-01 -1.145416259765625000e+00 -3.823090859850768908e+00 1.404502199508288562e+01 8.736510397868559399e-05
1.185767296773847956e+00 4.579282455907677796e-01 1.092638125798642434e+01 2.057081773386492785e+00 -1.122468062934659061e+00 8.716736422271745832e-01 5.103272618461732968e+00 3.549896055562633788e-03 2.803989159681514326e-02 2.877430489047723583e+00 1.820819478515809872e-02 1.452107418026681307e-01 2.600745010955225756e-02 1.452107418026681307e-01 -2.941131591796875000e+00 -3.738610810787152072e+00 1.404502199508288562e+01 1.578185167969191346e-05
