# mc delta_mc R14 log_alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185660151056348921e+00 3.420384888893276409e-01 1.488671472528202067e+01 -5.601360925426867032e-01 -1.266156514901781494e+00 5.390856007482327961e+00 3.668881943011507302e-02 3.109782453177909606e-02 5.834967085309895829e+00 1.582364377047374912e-02 1.352952144859557171e-01 2.765678782238798622e-02 1.352952144859557171e-01 -4.547729492187500000e+00 -3.126734686377099059e+00 1.420943642874459911e+01 1.337946634102743302e-06
1.186445531323066849e+00 2.616704609707496965e-01 1.607591197762594604e+01 -1.368666866420951145e-01 -1.331682413796753339e+00 5.577290269012192603e+00 3.150202168248501799e-02 8.287733485700356922e-03 1.654957465554575569e+00 1.979364005362451925e-02 1.455246561865769506e-01 2.550385527314968578e-02 1.455246561865769506e-01 -1.270462036132812500e+00 -3.082010709686725747e+00 1.420943642874459911e+01 3.708184544825538989e-05
1.186106018108349813e+00 3.327648261506625516e-01 1.498241664177829868e+01 -4.818599729843293655e-01 -1.282653942771918798e+00 5.385848991443061173e+00 3.190687178529923868e-02 7.653649171883269986e-03 8.641478249228661923e+00 1.772723030562929972e-02 1.371255367626055266e-01 2.669726633281096703e-02 1.371255367626055266e-01 -9.221038818359375000e-01 -3.137759555756611807e+00 1.420943642874459911e+01 4.968667641872802105e-05
1.187006998040462058e+00 2.697050857700052373e-01 1.620922389496608318e+01 -1.494355481859281909e-01 -1.350474408961031214e+00 5.804540259885798470e+00 1.164748239108130516e-02 3.167342976177072583e-02 9.890378939360987331e+00 2.049056033298607762e-02 1.414258169375255392e-01 2.501849243356820893e-02 1.414258169375255392e-01 -2.784439086914062500e+00 -2.945955502531304671e+00 1.420943642874459911e+01 9.348404295974653021e-06
1.185837111565263946e+00 3.786599870831007242e-01 1.402174304779057046e+01 -6.256170701424780267e-01 -1.237815314817757972e+00 5.249285058129279591e+00 2.505449773396116811e-02 2.331265588695135074e-02 3.518090163958820682e+00 1.736937397324758367e-02 1.389782839802865544e-01 2.720800755798787746e-02 1.389782839802865544e-01 -1.776336669921875000e+00 -3.173300676434386514e+00 1.420943642874459911e+01 2.040873322064009238e-05
1.185582541833297032e+00 3.791805279180775479e-01 1.360431719819465002e+01 -5.444649488466829501e-01 -1.218712061351723497e+00 5.736748894944253330e+00 1.397412106418104843e-02 2.331475354154645407e-02 7.852100545785815733e+00 2.089771354490554955e-02 1.481562163154785949e-01 2.666355110720049215e-02 1.481562163154785949e-01 -1.228775024414062500e+00 -2.890097442122975924e+00 1.420943642874459911e+01 4.683954328330800637e-05
1.186311509607202996e+00 2.145933261890667354e-01 1.719296808012288835e+01 3.689886872991848255e-01 -1.361121513209921918e+00 5.574633875228189872e+00 1.030334937228766061e-02 4.022590869721391627e-02 2.490931144743564474e+00 2.276885435738851271e-02 1.470626932275900245e-01 2.598716148275180896e-02 1.470626932275900245e-01 -2.208129882812500000e+00 -3.112197220409233633e+00 1.420943642874459911e+01 1.408729252169475259e-05
1.186281958730140973e+00 4.451098278007094566e-01 1.308103521432357574e+01 -7.893789435370234253e-01 -1.225768589762151528e+00 5.587505273295688468e+00 2.302946554817236063e-02 1.405388457579182827e-02 5.788931157665103910e+00 1.701756636669555026e-02 1.413366369528337163e-01 2.619980696425405764e-02 1.413366369528337163e-01 -1.837478637695312500e+00 -2.896411956133737586e+00 1.420943642874459911e+01 2.532291357655759708e-05
1.187001418771762129e+00 3.698464714620932625e-01 1.396135713571338677e+01 -5.969932877523183024e-01 -1.255959800690825912e+00 5.691574562777002910e+00 2.988065432831815693e-02 3.115672616961041169e-02 2.032976808739455965e+00 1.759284926677542535e-02 1.436546648801981796e-01 2.555614649076009409e-02 1.436546648801981796e-01 -2.969207763671875000e+00 -2.924474291002968407e+00 1.420943642874459911e+01 7.940039102335561384e-06
1.185875467756574153e+00 3.510872709459053054e-01 1.451256194689635137e+01 -5.519270173639637678e-01 -1.271351555654226750e+00 5.584084381899394600e+00 1.868970332575704829e-02 3.813058279822693908e-02 2.348070313355694605e+00 1.727545355988217846e-02 1.388536927432306722e-01 2.620477896651914052e-02 1.388536927432306722e-01 -1.121200561523437500e+00 -3.005829885737404172e+00 1.420943642874459911e+01 4.645898161010153320e-05
