# mc delta_mc R14 log_alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186019156085622583e+00 4.912378772803808746e-01 1.273232369527063668e+01 5.933981913478360015e-01 -1.119636576852982124e+00 5.502219954391316392e+00 3.905148645290884568e-02 3.872251928785225977e-02 4.849445080675193864e+00 1.987029053830508679e-02 1.406417825949123346e-01 2.653398293324631119e-02 1.406417825949123346e-01 -5.335998535156250000e-02 -2.879503875192123807e+00 1.415409528837334996e+01 2.474982901290960079e-04
1.186299244865559599e+00 5.890800779486206062e-01 1.242078737939757893e+01 2.027230747858198345e+00 -1.129892844279842157e+00 5.502462967728254384e+00 4.016071098282108370e-02 3.663147683650951753e-02 1.110922968465205862e+01 2.003965560664100129e-02 1.457304034875464005e-01 2.618462750563997632e-02 1.457304034875464005e-01 -4.400329589843750000e-01 -2.699086631422411120e+00 1.415409528837334996e+01 2.013707917203646472e-04
1.186529296934183852e+00 5.561553442285926963e-01 1.245313931822416542e+01 1.489091182176154549e+00 -1.126178117380941091e+00 5.539392667620830046e+00 2.544225458259090702e-02 7.210717036515898112e-03 1.003450985433743092e+01 1.878104206343866184e-02 1.432001119258465849e-01 2.641712950436977611e-02 1.432001119258465849e-01 -2.792358398437500000e-01 -2.744871506172794184e+00 1.415409528837334996e+01 2.259153085121725767e-04
1.186410072504786140e+00 4.769752378517878033e-01 1.279958892315868546e+01 4.599573812123500249e-01 -1.122173995472757868e+00 5.533966308583338822e+00 1.039298230861556913e-02 2.229329261018993258e-02 1.259782931346080881e+00 2.036598595656663457e-02 1.418257439167820433e-01 2.624445752420934141e-02 1.418257439167820433e-01 -2.533264160156250000e-01 -2.882429916876796838e+00 1.415409528837334996e+01 2.020491937296410427e-04
1.185737884606607562e+00 3.664655991186763773e-01 1.381101005913353319e+01 -7.201748982907648644e-01 -1.076864171842284668e+00 5.415327812378208705e+00 2.051456123062994630e-02 2.364886603346348995e-02 1.138801140637884224e+01 2.033179379801963726e-02 1.477255921617200984e-01 2.652594663805226891e-02 1.477255921617200984e-01 -7.714996337890625000e-01 -3.088627457908230678e+00 1.415409528837334996e+01 9.791898393819077769e-05
1.186282869396495077e+00 3.412754701540483548e-01 1.446831664219870817e+01 -1.504036141470014520e+00 -1.046801945243606369e+00 5.601426891078621573e+00 3.233990259164566672e-02 4.612242924934347593e-02 8.844663488454710176e+00 2.014043259879251535e-02 1.432196521571964531e-01 2.722682402218053188e-02 1.432196521571964531e-01 -7.477111816406250000e-01 -3.004754345871893939e+00 1.415409528837334996e+01 1.090495107808893242e-04
1.185644977600440297e+00 5.291795113837426401e-01 1.236021281867690469e+01 1.407223432834143972e+00 -1.111800301802977842e+00 5.631002997999081217e+00 4.345499624708885379e-03 3.275500776541303422e-02 8.825832492686615183e+00 2.040506994075335506e-02 1.496389397901929375e-01 2.724814280387614224e-02 1.496389397901929375e-01 -1.686523437500000000e+00 -2.742613693016448639e+00 1.415409528837334996e+01 5.543052326228472811e-05
1.186891186038719681e+00 3.669770512631361781e-01 1.403592724159234351e+01 -1.077869300497003469e+00 -1.081116604854279295e+00 5.191285785552208765e+00 1.257484765613562164e-02 1.400513726675031885e-02 5.517494647999474644e+00 1.899760042409098446e-02 1.430222786323965822e-01 2.627701742687573241e-02 1.430222786323965822e-01 -1.354141235351562500e+00 -3.218842274479046139e+00 1.415409528837334996e+01 4.800398479998961088e-05
1.187189575535527064e+00 4.586871032859963782e-01 1.317653939619640902e+01 -2.391900143956197100e-01 -1.101436523172458104e+00 5.934750168533284409e+00 1.871965399036484802e-03 3.397482377419561161e-02 2.360685769904469211e+00 1.578682425601446448e-02 1.344426226258019774e-01 2.729670754908764332e-02 1.344426226258019774e-01 -5.107116699218750000e+00 -2.679366609081259565e+00 1.415409528837334996e+01 1.930510017269044136e-06
1.185882762833268211e+00 3.518881577663808824e-01 1.438557437050781651e+01 -1.491364509095441271e+00 -1.057487992371654251e+00 5.457755172928110632e+00 2.296074740668032146e-02 3.788836407279595753e-02 8.169902679521664268e+00 1.945712772887966263e-02 1.409895014444080275e-01 2.709200538956865051e-02 1.409895014444080275e-01 -4.485015869140625000e-01 -3.078218127572418528e+00 1.415409528837334996e+01 1.366670696210735389e-04
1.186052326695647752e+00 4.732222097501002089e-01 1.283817267167244580e+01 3.299445840977244249e-01 -1.112541891658991533e+00 5.288436560327983926e+00 3.460318078103574724e-02 3.388555343144064591e-02 7.606397691423660845e+00 1.753207810353093685e-02 1.412815664278457284e-01 2.679532772406940239e-02 1.412815664278457284e-01 -1.363662719726562500e+00 -3.031537751927816604e+00 1.415409528837334996e+01 5.734393376498943278e-05
1.186476632411936238e+00 4.247826659872951383e-01 1.327784019795402060e+01 -2.478395291715173032e-01 -1.111207474248798954e+00 5.442177554606999479e+00 1.476309270702587904e-02 2.204641714879872205e-02 7.397622932132399853e+00 1.946026233752526022e-02 1.419287970483994465e-01 2.612585172762315125e-02 1.419287970483994465e-01 -4.095764160156250000e-01 -3.006625705542254501e+00 1.415409528837334996e+01 1.526374363871504101e-04
1.185726072535642439e+00 3.426801761133119184e-01 1.471370701198696729e+01 -2.059604780811937541e+00 -1.048596163989130803e+00 5.424948019471852234e+00 1.258352558079692263e-02 7.251358501566830886e-03 7.311883300717088474e+00 1.581913490804402744e-02 1.381373246253648768e-01 2.719354108642723158e-02 1.381373246253648768e-01 -3.331100463867187500e+00 -3.106182875294486667e+00 1.415409528837334996e+01 7.440843341681010644e-06
1.186045273166108194e+00 3.937562188470905000e-01 1.373637735652596170e+01 -7.883048902220155529e-01 -1.079041927319144722e+00 5.515907933650599837e+00 1.411220199532519336e-02 2.688724522288491944e-02 8.526766177192801166e+00 1.969455369221736335e-02 1.402754309260991761e-01 2.733479512233044639e-02 1.402754309260991761e-01 -7.115478515625000000e-01 -3.000784756234201378e+00 1.415409528837334996e+01 1.135149931190576779e-04
1.185882829510715331e+00 5.251638203328816701e-01 1.258864587307336258e+01 1.010682395620156271e+00 -1.140764102499046473e+00 5.617688828119439037e+00 3.337024898036024950e-03 3.943139949333124283e-02 6.682168707655902651e+00 2.035708271179910434e-02 1.396664262729423456e-01 2.547345297389927779e-02 1.396664262729423456e-01 -1.300231933593750000e+00 -2.757105262764778519e+00 1.415409528837334996e+01 8.039325966038505915e-05
1.185887210347048137e+00 3.933549200109222599e-01 1.376308709795065610e+01 -8.718573522698259692e-01 -1.101626873463404932e+00 4.779858371184118049e+00 3.992703406314498764e-03 3.405067025984850025e-03 2.966681351180975312e+00 1.773681595587984008e-02 1.397343897591695194e-01 2.593941968497898501e-02 1.397343897591695194e-01 -5.425552368164062500e+00 -3.438642305924820786e+00 1.415409528837334996e+01 6.570946939052065812e-07
1.186953022389207968e+00 4.279790774094738848e-01 1.345421976750261983e+01 -5.545266882853006063e-01 -1.081052118877330326e+00 5.635182822140886394e+00 3.422568259420426511e-03 1.838768852204256121e-02 8.812444493751609542e+00 1.790581132265624958e-02 1.360819996607960380e-01 2.806850613180111517e-02 1.360819996607960380e-01 -2.823867797851562500e+00 -2.890582096311729465e+00 1.415409528837334996e+01 1.533009116643574288e-05
1.186949017532688222e+00 5.063136662582692349e-01 1.261646212626050456e+01 7.886588342327573997e-01 -1.114802371688766947e+00 5.647883367071453442e+00 2.940734282370087438e-02 2.094877898704990138e-02 1.096490908675628972e+01 1.770949066152432624e-02 1.424011847408743758e-01 2.693496319132767866e-02 1.424011847408743758e-01 -9.576110839843750000e-01 -2.770647018056395794e+00 1.415409528837334996e+01 1.117215295512839231e-04
1.186157919680329353e+00 5.505160978717976716e-01 1.248414168840153060e+01 1.454267718352405092e+00 -1.118322382667154891e+00 5.627840417199522882e+00 1.262325999551546993e-02 3.575844291152148295e-03 1.367854519504663990e+01 2.264043162728626365e-02 1.417359239499762502e-01 2.689447099205451164e-02 1.417359239499762502e-01 -3.243377685546875000e+00 -2.704974681711289630e+00 1.415409528837334996e+01 1.213283200317231896e-05
1.186699041533664234e+00 4.765877136670364500e-01 1.262912573550676143e+01 7.190308517108047193e-01 -1.148871592772793271e+00 5.855151027881525749e+00 7.349170656044869826e-03 1.637907416838539285e-02 5.402350309411842133e+00 2.137660491296160606e-02 1.483336131767772903e-01 2.467382611046218047e-02 1.483336131767772903e-01 -4.457229614257812500e+00 -2.698972706215356787e+00 1.415409528837334996e+01 3.625764684418272367e-06
1.186407085176345744e+00 5.055554069587346877e-01 1.268052847591846977e+01 7.605268751064577781e-01 -1.128265361874211337e+00 5.833220211624301932e+00 3.015875914769741012e-02 6.047389584610637046e-03 1.420048302150547892e+00 2.107545638895336193e-02 1.396465328426004238e-01 2.611214286124014308e-02 1.396465328426004238e-01 -1.730712890625000000e+00 -2.666629117573263930e+00 1.415409528837334996e+01 5.722126103621065897e-05
1.186915668870939022e+00 5.831069020130695835e-01 1.245155557661029810e+01 1.872270529369674197e+00 -1.127554191424200880e+00 5.568485933419352385e+00 1.213382370702641329e-02 1.097558349023602248e-02 9.031627970858965071e+00 2.009559337771376838e-02 1.437155691204933250e-01 2.632960513375411093e-02 1.437155691204933250e-01 -9.590148925781250000e-02 -2.673166110849395150e+00 1.415409528837334996e+01 2.915466227579720931e-04
