# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186480915929178703e+00 3.319028967639156558e-01 1.196210302150247884e+01 3.209141770664386550e-02 -3.369017788158628957e+00 5.518603159725863350e+00 7.731530355233823606e-03 2.435040515746553398e-03 2.970591657537517527e+00 2.711485513430793304e-02 2.010239509110353096e-01 5.469444881376545277e-06 2.010239509110353096e-01 -4.108255535156274618e+00 -6.742226481563669438e+00 2.114413025537607638e+01 6.650526092539375985e-05
1.186667040562947362e+00 3.240868664994873694e-01 1.190050332702070435e+01 3.952905534384562602e-02 -1.479528437331894541e-01 5.695362363085141766e+00 2.347451224756928528e-04 8.791103341696825113e-03 7.673864323496720097e+00 2.248082555209428984e-02 2.041357125702263353e-01 9.434041655411607580e-03 2.041357125702263353e-01 -5.068489318554696865e+00 -6.647200214648764316e+00 2.114413025537607638e+01 2.799633306708672911e-05
1.186682111344878887e+00 3.299420447295650094e-01 1.195651632593913050e+01 3.174461045684365962e-02 2.784324171660041980e+00 5.621771194644412439e+00 1.946263434327300413e-03 4.858243013312725858e-03 8.005973259538565756e-01 2.419503635823182577e-02 2.015929041312565784e-01 1.000000000000000056e-01 2.015929041312565784e-01 -2.492402358203122503e+00 -6.684257959821307438e+00 2.114413025537607638e+01 3.546398455370841055e-04
1.186684005088174398e+00 3.256780110594112987e-01 1.191681295077169089e+01 3.960185409884878216e-02 1.033146779577182262e+00 6.069041403280698077e+00 1.549771319221456424e-04 2.496565783694096232e-03 6.552563959439113184e+00 2.434682577480869539e-02 2.034237162188409220e-01 1.000000000000000056e-01 2.034237162188409220e-01 -2.216410278906266740e+00 -6.434777863257642672e+00 2.114413025537607638e+01 5.997872030639252216e-04
1.186596436921679709e+00 3.309988495842650646e-01 1.196144786638395452e+01 3.163874369144609178e-02 6.766050450424174745e-01 5.674695220099992277e+00 2.046521402991549783e-03 6.436530468867866610e-04 1.166583135865910670e+00 2.547925531204322386e-02 2.012421827819956266e-01 6.239621202289018925e-02 2.012421827819956266e-01 -1.459655089257807958e+00 -6.653007084048184083e+00 2.114413025537607638e+01 1.027722943633559106e-03
1.186709861349851458e+00 3.266960780327879954e-01 1.192587528569136879e+01 3.478271838075897709e-02 3.294514241123021936e+00 5.813972112500759515e+00 1.688841021264899950e-03 1.642920383978067412e-03 7.269610609721498307e+00 2.249919372230703082e-02 2.030063645612237289e-01 1.000000000000000056e-01 2.030063645612237289e-01 -2.487533834765628171e+00 -6.577299782886091961e+00 2.114413025537607638e+01 3.966004914572003929e-04
1.186471343225184771e+00 3.355207590911244986e-01 1.198884455652362391e+01 3.023091622468839987e-02 5.210332897736170921e+00 5.730882423817647009e+00 2.031098550381916969e-03 8.703527828007333669e-03 3.034691200682077650e+00 3.100131568767132070e-02 1.996277108005641843e-01 1.000000000000000056e-01 1.996277108005641843e-01 -4.928975062304658650e+00 -6.616911075420142119e+00 2.114413025537607638e+01 3.317766588322271801e-05
1.186495573111930879e+00 3.281915272140970008e-01 1.192309082246565310e+01 3.750649163645718848e-02 7.356029798077944548e+00 5.772779951330107906e+00 1.778088967383397280e-03 4.905402899169871052e-03 4.560796559695674546e+00 2.621418211458861891e-02 2.027466464531843537e-01 1.000000000000000056e-01 2.027466464531843537e-01 -4.312851485351586689e+00 -6.599572072568767211e+00 2.114413025537607638e+01 6.251081082550472934e-05
1.186588569742000221e+00 3.304956402725672260e-01 1.195019418577729908e+01 3.280543372180062117e-02 1.998916597557723662e+00 5.833786251861168282e+00 9.685267516722861989e-04 2.367964740227596846e-03 2.019684094619224268e+00 2.577628125967726044e-02 2.016304008213547494e-01 1.000000000000000056e-01 2.016304008213547494e-01 -1.505605099804711244e+00 -6.562807320779516118e+00 2.114413025537607638e+01 1.074220597828933789e-03
1.186476748974468531e+00 3.318327797024511194e-01 1.196123041158899447e+01 3.348523093384939836e-02 5.365121829527812913e+00 5.416170238182743013e+00 3.329211776874022900e-03 1.584694603410042105e-02 4.397623920278416421e+00 2.818964203676968538e-02 2.010590483118147587e-01 1.000000000000000056e-01 2.010590483118147587e-01 -5.576800867382871729e+00 -6.801837474207005130e+00 2.114413025537607638e+01 1.442733586965080115e-05
1.186814635084711522e+00 3.341010020959508942e-01 1.198970988705653973e+01 3.081654684930473787e-02 2.603909018963703303e+00 6.022369491269762065e+00 3.699213656006090402e-03 2.471692013808916410e-03 7.065290553003551466e+00 2.926177906577986931e-02 1.999679486822583119e-01 1.000000000000000056e-01 1.999679486822583119e-01 -2.076797284765603990e+00 -6.453235416561033944e+00 2.114413025537607638e+01 6.770400109844030125e-04
1.186644703368703757e+00 3.293349261034439479e-01 1.194056186371150652e+01 3.131866682734747026e-02 6.208342100823794896e-01 5.939379799034252727e+00 1.620037388217899620e-03 2.650239629320082571e-03 4.043543057770715876e+00 2.318682971525493075e-02 2.021151673233702040e-01 5.352990955315168470e-02 2.021151673233702040e-01 -1.898387853710943318e+00 -6.504179885782550130e+00 2.114413025537607638e+01 7.690802600375429331e-04
1.186657447635334206e+00 3.311885973149868434e-01 1.196573936779466862e+01 3.239131280484074116e-02 5.785558926694879034e+00 5.744837553485833581e+00 9.587306665508300244e-04 1.563987243725145290e-02 5.346935392983190205e+00 2.633949254618965508e-02 2.011098319598828565e-01 1.000000000000000056e-01 2.011098319598828565e-01 -2.467601595703143857e+00 -6.612692313518246046e+00 2.114413025537607638e+01 3.905160867490371389e-04
1.186389482356470904e+00 3.289931718034758701e-01 1.194049441533690015e+01 3.264652882529379962e-02 3.774907080571057616e+00 5.781157681339301746e+00 4.927080370161875458e-03 1.437357821272300818e-03 2.689668033476475095e+00 2.369534914655524807e-02 2.021132341055267290e-01 1.000000000000000056e-01 2.021132341055267290e-01 -3.160271016015656187e+00 -6.594186506560861361e+00 2.114413025537607638e+01 1.990001443967684262e-04
1.186826470242174025e+00 3.301350004648170855e-01 1.195535576681950118e+01 3.214942744867886615e-02 3.175332670246642786e-01 5.687234916308969268e+00 4.186542818475127970e-04 3.148753616281294888e-03 3.422897426700591161e+00 2.478823608306846005e-02 2.016253333161485140e-01 2.712734994944409478e-02 2.016253333161485140e-01 -1.281120993749993886e+00 -6.646400411405084974e+00 2.114413025537607638e+01 1.236749279778536588e-03
1.186355379405634292e+00 3.276344036591671283e-01 1.193125703333185683e+01 3.739506647906907372e-02 -1.378140525236283498e+00 6.004452724238890760e+00 8.256034446260744055e-04 5.101618905921097291e-03 4.013676857024508493e-01 2.531309075998558478e-02 2.025988458961022198e-01 5.627659755422706727e-04 2.025988458961022198e-01 -4.469704277148423444e+00 -6.469412578857516749e+00 2.114413025537607638e+01 6.086426475798881961e-05
1.186709861349851458e+00 3.266960780327879954e-01 1.192587528569136879e+01 3.478271838075897709e-02 3.294514241123021936e+00 5.813972112500759515e+00 1.688841021264899950e-03 1.642920383978067412e-03 7.269610609721498307e+00 2.249919372230703082e-02 2.030063645612237289e-01 1.000000000000000056e-01 2.030063645612237289e-01 -2.487533834765628171e+00 -6.577299782886091961e+00 2.114413025537607638e+01 3.966004914572003929e-04
