# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185537150364530001e+00 7.723211266115099366e-03 1.160422023063284058e+01 2.474931549591705249e+00 -1.545534349267861485e+00 6.295375156901410918e+00 7.635724173325957043e-02 8.305449746018908619e-02 8.681457927995612778e-01 1.209353058572482272e-02 2.413298669548999409e-01 3.914827538372857426e-04 2.413298669548999409e-01 -3.155363994531256822e+00 -6.445124103124931558e+00 1.921546957968777036e+01 3.091662193102597185e-04
1.185574540811118016e+00 5.842460741048574775e-03 1.163116625894170930e+01 2.466362826429253641e+00 -1.402701117390439345e+00 6.229070452037104744e+00 7.497976423921992595e-02 8.590207402782895629e-02 8.574543873876239175e-01 1.210832487258985818e-02 2.408751661307715897e-01 5.523588996267263847e-04 2.408751661307715897e-01 -2.374460839062521700e+00 -6.481558353106122716e+00 1.921546957968777036e+01 6.508947562058723952e-04
1.185502799966458243e+00 3.830570121071412166e-03 1.165122352848931975e+01 2.488117602472553092e+00 -4.083100723655242348e+00 5.873543637556421615e+00 7.275953194616106845e-02 8.811314613218391989e-02 1.460601189914836340e+00 1.225619792027690322e-02 2.405213864785711864e-01 1.146676417364638864e-06 2.405213864785711864e-01 -2.406492957812503164e+00 -6.680007595162839706e+00 1.921546957968777036e+01 5.169088759296440894e-04
1.185502739076396805e+00 7.447683718164918023e-04 1.168798543850470395e+01 2.496684341773905746e+00 -2.482093882009410279e+00 5.914514681127876372e+00 7.995282414521583114e-02 8.939274777429709329e-02 4.218824152141721129e+00 1.238473215198967851e-02 2.398918827609519688e-01 4.599676374740707864e-05 2.398918827609519688e-01 -1.736466142968765780e+00 -6.656907135121884700e+00 1.921546957968777036e+01 1.033797173223668193e-03
1.185501404263929803e+00 4.829000113200820204e-03 1.164662926186908365e+01 2.442409980158170679e+00 -2.552114465865860993e+00 5.220214229968097364e+00 8.361818790586329764e-02 8.646990962262539326e-02 5.128730424362398566e+00 1.202603261877661575e-02 2.405979825278746764e-01 3.968012583555945383e-05 2.405979825278746764e-01 -3.816476254296901516e+00 -7.057704358065672423e+00 1.921546957968777036e+01 8.650364433848963604e-05
1.185525950065928535e+00 1.566703652493493717e-03 1.167060467502945009e+01 2.444661280990175101e+00 -3.339782906522670736e+00 6.386030724195661534e+00 6.501524348364012829e-02 9.516199493921087549e-02 6.360906294392121296e+00 1.208309155495417529e-02 2.401944166711054707e-01 6.235061638848825052e-06 2.401944166711054707e-01 -3.829296791796878097e+00 -6.395670531914790402e+00 1.921546957968777036e+01 1.655709547890689632e-04
1.185566893100254093e+00 1.450589242716399021e-03 1.169029977606503756e+01 2.432325993381889262e+00 -1.975222865849714626e+00 6.217001213451998964e+00 7.922526024907455833e-02 6.961684975845337797e-02 1.228481648976487151e+00 1.207173394488161855e-02 2.398624976489622806e-01 1.518209690481435881e-04 2.398624976489622806e-01 -5.050397077734402274e+00 -6.488254339326819498e+00 1.921546957968777036e+01 4.451008262865158030e-05
1.185502182475169475e+00 6.483836197758150767e-03 1.162245141023423045e+01 2.498187198849469937e+00 -1.057930249377556087e-01 6.165185479931679424e+00 7.377666530286804136e-02 8.769511746246502759e-02 1.368839100602344594e+00 1.224729504962658762e-02 2.410118123553887104e-01 1.091800691008452083e-02 2.410118123553887104e-01 -1.440831300390641445e+00 -6.516881743756542278e+00 1.921546957968777036e+01 1.598233302689519401e-03
1.185534795618489845e+00 3.354049439375786194e-03 1.165444891611657852e+01 2.462833657583348934e+00 -3.115591831480425178e+00 5.529219586366508565e+00 8.415158604843724077e-02 8.234963056966643213e-02 4.718985317598409779e+00 1.213695926729354765e-02 2.404721065657210999e-01 1.056643522685049546e-05 2.404721065657210999e-01 -4.116626022265620577e+00 -6.876919043216920713e+00 1.921546957968777036e+01 7.677062584474719992e-05
1.185523649005848501e+00 3.659020235625501556e-03 1.163683002304776615e+01 2.318366391183247277e+00 -2.255989022423889878e+00 6.224691685138418862e+00 7.014004644509455599e-02 8.694308110517366683e-02 6.507352762749603059e+00 1.138056676531479759e-02 2.407746134449923470e-01 7.345079925272972408e-05 2.407746134449923470e-01 -6.610402257421867489e+00 -6.484038546670616299e+00 1.921546957968777036e+01 9.392639516623011640e-06
1.185501798311827670e+00 1.780343518042548992e-02 1.148965092700892043e+01 2.493379758184663952e+00 -2.200338051008456919e+00 6.385548435828162894e+00 7.352963324594527506e-02 8.826079907462065777e-02 3.711737007245239361e+00 1.202072252991666194e-02 2.432659085666158960e-01 8.627275782822648560e-05 2.432659085666158960e-01 -5.234601308984395018e+00 -6.395576073739285938e+00 1.921546957968777036e+01 4.061712492138881307e-05
1.185504249047622194e+00 2.629530904625406416e-03 1.168292031568071643e+01 2.466879047401348668e+00 -2.766382167919512747e-01 5.300161013449826264e+00 6.651193572042368718e-02 9.202397500255761476e-02 1.352671017948340548e+00 1.222951695212695818e-02 2.399772545735096019e-01 7.722344591547971107e-03 2.399772545735096019e-01 -6.751234746875013570e+00 -7.010585620940587681e+00 1.921546957968777036e+01 4.818905312495273225e-06
1.185566994691669374e+00 2.991794451680478053e-03 1.166699066248787986e+01 2.415490244190355629e+00 -2.808996541030636340e+00 6.159863995621853050e+00 6.716325783036838915e-02 9.232042528882253296e-02 1.207395510383810766e+00 1.193449199405090082e-02 2.402616932576888686e-01 2.190139105622561212e-05 2.402616932576888686e-01 -2.313391512890632384e+00 -6.519812219035394207e+00 1.921546957968777036e+01 6.659159254893317606e-04
