# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185592459599275061e+00 4.759015107086646268e-02 1.685537183064197464e+01 1.426034881136828414e-01 2.136414485308129052e+00 5.672027576018940920e+00 9.901777546400612751e-02 7.637924469507008374e-02 5.055743806680108143e+00 2.266788514693842543e-02 1.769653650574458670e-01 1.000000000000000056e-01 1.769653650574458670e-01 -2.924874713671840709e+00 -6.791909195190218185e+00 1.699982999109069937e+01 1.260691145311019709e-04
1.185599137171919226e+00 4.638066446041624880e-02 1.640748144137358722e+01 9.254730809110924827e-01 -1.681366960190986193e+00 6.095527792334200612e+00 6.212674304732127006e-02 1.019486314083786205e-01 3.270102114606909360e+00 2.491886966979450779e-02 1.808747188161142772e-01 2.629481028607842793e-04 1.808747188161142772e-01 -7.382057392773418769e+00 -6.552911324309059538e+00 1.699982999109069937e+01 1.856411784435440260e-06
1.185519633139113571e+00 4.842221252014144300e-02 1.653174376456616912e+01 5.751606168963635524e-01 6.767616274925252640e+00 5.301959301142543879e+00 6.473750038218943625e-02 8.472714614080718853e-02 6.872562840113495497e+00 2.536035087120126763e-02 1.796656632698558909e-01 1.000000000000000056e-01 1.796656632698558909e-01 -7.056989721679684635e+00 -7.006706668069960564e+00 1.699982999109069937e+01 1.632182055118945275e-06
1.185526467595847233e+00 4.712659806151199560e-02 1.602761305375917544e+01 2.437878283071193142e+00 3.523728308410005727e+00 5.937872197248163175e+00 9.324260804206845055e-02 5.479501856157400347e-02 4.010220392641741682e+00 2.483564893278976740e-02 1.842520810179709700e-01 1.000000000000000056e-01 1.842520810179709700e-01 -6.079452470703131439e+00 -6.641070555453827851e+00 1.699982999109069937e+01 6.253186459170654076e-06
1.185575891707538077e+00 4.871849195396189824e-02 1.596859903539522385e+01 2.194879263220583354e+00 2.824915377428451890e+00 5.792567248813708325e+00 1.059127905133861319e-01 8.192491351200550942e-02 3.992268895166653841e+00 2.076187768939249598e-02 1.847197048507467354e-01 1.000000000000000056e-01 1.847197048507467354e-01 -5.869480500195322747e+00 -6.722999495683962046e+00 1.699982999109069937e+01 7.107383672708062772e-06
1.185564128403904904e+00 4.814749500905260438e-02 1.639399064890347191e+01 9.068469975954935869e-01 -4.135352239914845462e+00 5.431412499400902760e+00 8.158338076201741840e-02 8.249856264192693966e-02 9.073936177155301763e-01 2.504057510954627377e-02 1.808928133266185512e-01 9.657096775883715077e-07 1.808928133266185512e-01 -7.196390167773415669e+00 -6.930927873696004937e+00 1.699982999109069937e+01 1.531574286736699473e-06
1.185584377193760863e+00 4.848410858858821088e-02 1.663554390336571132e+01 3.393248028657646076e-01 -3.651055765332983594e+00 5.210178151621720488e+00 8.072519158495199132e-02 8.826744861650619167e-02 2.276853763075854964e+00 2.202263222192930858e-02 1.787740972453639721e-01 2.969781739214069647e-06 1.787740972453639721e-01 -7.457817994921839500e+00 -7.060773440923775013e+00 1.699982999109069937e+01 1.035643277293139525e-06
1.185539910248206263e+00 4.849309958730990688e-02 1.696868380113291863e+01 7.859484661505589109e-02 -9.502679027632844333e-01 5.772439686261868985e+00 5.762402412553634806e-02 9.160959878793459299e-02 3.458057337525994868e+00 2.268680342002779224e-02 1.759670170817542734e-01 1.491579259885103060e-03 1.759670170817542734e-01 -3.250009908203111308e+00 -6.734502742693257105e+00 1.699982999109069937e+01 9.645740795345529323e-05
1.185540037857731210e+00 4.690454941624683238e-02 1.690806860480102358e+01 1.106546547543055953e-01 2.108570389938776657e+00 5.994399343874852626e+00 8.595634328308195127e-02 6.363847382627145499e-02 1.300332204696417193e-01 2.188849863156124356e-02 1.765591938703559016e-01 1.000000000000000056e-01 1.765591938703559016e-01 -2.769946593554692527e+00 -6.609352447759279769e+00 1.699982999109069937e+01 1.766755769438896611e-04
1.185640181075543476e+00 4.763710085693632912e-02 1.619498646994442126e+01 1.772922183592910761e+00 2.493550675934980365e+00 5.568065237762867881e+00 1.009960889618597840e-01 7.337299261152052665e-02 7.951305795780400310e+00 2.732048829768994255e-02 1.827089551006703116e-01 1.000000000000000056e-01 1.827089551006703116e-01 -8.317877244921817237e+00 -6.851662511549122314e+00 1.699982999109069937e+01 5.401407295930545273e-07
1.185594818238431714e+00 4.528454478441799186e-02 1.669746573411280011e+01 3.254731257753409324e-01 8.192131292533211262e-01 5.924318143226019906e+00 1.040500788434717688e-01 8.887077024631515054e-02 1.757137427423868914e+00 2.354799083502473120e-02 1.784232955324566161e-01 8.103536986405755760e-02 1.784232955324566161e-01 -3.093990354296835221e+00 -6.648845239423070375e+00 1.699982999109069937e+01 1.228272135324271950e-04
1.185532874453356200e+00 4.705715173273243568e-02 1.685397232282628721e+01 1.652742247275264809e-01 -1.147994364011329260e+00 6.093981244162719690e+00 8.803320413800677646e-02 7.465452971744034050e-02 1.275308283168774537e+00 2.547072383423429343e-02 1.770000641607727965e-01 9.131805204799517623e-04 1.770000641607727965e-01 -4.261431218945290311e+00 -6.553751403477493298e+00 1.699982999109069937e+01 4.203201421041989600e-05
1.185538054555900667e+00 4.724693202140565346e-02 1.691584985877767977e+01 1.101503543732104407e-01 -1.570707406960212493e+00 5.586685805442320074e+00 9.869040928133000767e-02 7.367716716335981353e-02 7.575154260038675424e+00 2.299684884865973653e-02 1.764751285709862394e-01 3.466355409327563013e-04 1.764751285709862394e-01 -1.903202606835890265e+00 -6.841050878401109259e+00 1.699982999109069937e+01 3.334059138676286494e-04
1.185510293196042841e+00 4.710520448622296935e-02 1.676458756674677986e+01 2.314411735001727088e-01 -2.718656877608462974e+00 6.006762731245906650e+00 8.253913298621427808e-02 7.651673704852202107e-02 6.517112645389461889e+00 2.397287554612569094e-02 1.777450946523089215e-01 2.457132851726140084e-05 1.777450946523089215e-01 -3.584662971874990944e+00 -6.602431641670943208e+00 1.699982999109069937e+01 7.876900484111072512e-05
