# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185878389313905101e+00 1.124754590851438779e-01 2.203431609675195091e+01 1.682809525308898824e+00 -8.274719235906421444e-01 -8.020102800305960178e-02 5.787385168991705520e+00 3.394361865094295064e-03 7.465454216484793473e-03 1.703329134689514301e+00 1.906512074441683163e-02 1.415401391040086720e-01 2.630977419936532391e-02 1.415401391040086720e-01 -5.010035020046075260e+00 -3.319684586638099066e+00 1.790354337945504426e+01 3.638421414513425862e-05
1.185948590688506110e+00 6.134949940586438555e-02 1.685725631309991712e+01 1.328449757102507345e+00 -8.158002746605983457e-01 3.989771705643715416e-01 5.418110839889897612e+00 3.919705228428240623e-03 1.070505027192436261e-03 2.699405823907595092e+00 1.979358563328718901e-02 1.449916941171091322e-01 2.694126295801485896e-02 1.449916941171091322e-01 -4.504078819228993780e+00 -3.543039496105961472e+00 1.790354337945504426e+01 4.826643032042423384e-05
1.185960345053094223e+00 2.911767240298669852e-03 3.157109185101851878e+01 2.823110503432514573e+00 -8.185165788639467976e-01 -3.860245788800527045e-01 5.355170988557230949e+00 1.843877881990242835e-03 5.129571929212612541e-03 3.334632420895204508e+00 2.060785299216703545e-02 1.371202732508955136e-01 2.687500533196784600e-02 1.371202732508955136e-01 -4.114905205518880393e+00 -3.584334950836493228e+00 1.790354337945504426e+01 6.834814708428740729e-05
1.185961293336349476e+00 8.900859621424810075e-02 1.345550682021839251e+01 9.660230420697935028e-01 -8.077406672966576107e-01 8.806771245860536279e-01 5.600662309720687126e+00 8.491508099686753686e-03 6.099526061883860095e-03 9.988685770608007886e+00 2.106012886457263658e-02 1.370742806322156337e-01 2.600896312925844375e-02 1.370742806322156337e-01 -4.905574213717386556e+00 -3.432197612013039745e+00 1.790354337945504426e+01 3.609241686744353155e-05
1.185941195789003144e+00 7.470182401820749107e-02 2.266781011243143240e+01 1.894117299151966805e+00 -8.485204294862268570e-01 -1.239009884234243686e-01 5.569356587188289964e+00 1.118358762617660930e-03 1.000254824584991854e-02 9.447927172654607686e-01 2.115192570366397976e-02 1.470261905304465766e-01 2.507001925467093953e-02 1.470261905304465766e-01 -3.873869082641363093e+00 -3.453095133290108532e+00 1.790354337945504426e+01 9.917543910803487065e-05
1.185944026691778896e+00 1.687178627084341687e-02 2.700856590123922629e+01 2.321366737313214745e+00 -8.055808144490236300e-01 -3.031665028512827709e-01 5.545104956431516463e+00 2.177473318537684593e-03 2.834199664710128873e-03 4.669119682810845440e+00 1.810983787811356466e-02 1.459017477128644324e-01 2.768468848336726879e-02 1.459017477128644324e-01 -4.970099045728488818e+00 -3.473476726348729393e+00 1.790354337945504426e+01 3.246877433707307382e-05
1.185939557052578364e+00 9.809662289567799842e-02 2.719750166368686806e+01 2.224792005430675790e+00 -8.172698228840398205e-01 -5.673876112379501180e-01 5.681474819352265726e+00 4.698124088027349869e-03 8.574196871823421690e-03 3.258998644362056218e+00 1.890192903377838421e-02 1.548782126813180726e-01 2.694812630707526038e-02 1.548782126813180726e-01 -9.010333683367150570e+00 -3.383742128390242687e+00 1.790354337945504426e+01 6.248640319285750185e-07
1.185943752366368731e+00 9.668485845641318355e-02 3.438003658432158005e+01 2.869680377920664327e+00 -8.038554768749198720e-01 -6.921622627494865565e-01 4.523381504766455841e+00 3.060811138793012760e-03 8.408791991391785167e-03 8.085424582713029551e+00 1.666125698162328889e-02 1.387542851600346849e-01 2.779784036688662946e-02 1.387542851600346849e-01 -6.419895963109524928e+00 -4.074182867509974493e+00 1.790354337945504426e+01 4.177762346143997761e-06
1.185879507374477670e+00 8.536719838754605605e-02 1.321862359122173558e+01 9.165818155937939249e-01 -7.961304198975255320e-01 8.308996896098177487e-01 5.272935030566133108e+00 3.001994832632982110e-04 3.012476246017119479e-03 8.124737834251474666e+00 1.939072678205093492e-02 1.428600930531898905e-01 2.626071928366714714e-02 1.428600930531898905e-01 -4.564979261833968849e+00 -3.623944715227798152e+00 1.790354337945504426e+01 4.188512001169750930e-05
1.185942165160906780e+00 9.258090810849646524e-02 1.412747541878123769e+01 9.751638774785179598e-01 -8.142995121387170965e-01 7.099259539104501027e-01 5.461099420439683882e+00 3.512501235140382330e-03 1.113659902542116220e-02 8.224477185995201722e+00 1.892587080471989230e-02 1.425693862274998724e-01 2.635558276619777776e-02 1.425693862274998724e-01 -5.245136356421085111e-01 -3.512202917583233663e+00 1.790354337945504426e+01 2.662812187605676732e-03
1.185945497969685292e+00 9.132920195462802815e-02 2.508107091087536489e+01 2.047263351639746265e+00 -8.275689726429958926e-01 -2.541164978456120216e-01 5.636643248643884441e+00 9.782291483972860302e-03 2.056468874659678984e-03 1.148781101007076444e+01 1.927325253572053851e-02 1.426246987851827464e-01 2.631402068527415039e-02 1.426246987851827464e-01 -4.559219636521447683e-01 -3.411006446968964489e+00 1.790354337945504426e+01 3.155575601273243307e-03
1.185945642905352093e+00 9.208841131444549244e-02 2.888867464641656824e+01 2.370015184843974332e+00 -8.233257527896404859e-01 -5.359191381238588292e-01 5.527212206369155112e+00 4.458101323929665113e-03 5.866536353944915363e-03 1.969175146081209249e+00 1.741846141545398685e-02 1.469954297471881277e-01 2.657662644066387247e-02 1.469954297471881277e-01 -2.457245855078042496e+00 -3.473949191605619102e+00 1.790354337945504426e+01 4.004782921819331721e-04
1.185994506074982136e+00 4.641195528174168333e-02 2.163665712609758884e+01 1.862433074422026991e+00 -8.220671188097077309e-01 -6.677105396289245709e-02 5.354264041228934623e+00 1.538203325302779862e-03 6.339715611833101651e-03 2.559691810195574124e+00 2.213567571769872039e-02 1.508215333770150379e-01 2.664182149419059425e-02 1.508215333770150379e-01 -8.610173788625274938e+00 -3.582259949305012459e+00 1.790354337945504426e+01 7.644649298354890434e-07
1.185957579317346466e+00 8.465645188840770436e-04 2.858069648080989467e+01 2.452498416424602201e+00 -8.189902607636774245e-01 -3.161049714335857352e-01 5.490486531553379734e+00 6.898964502390020695e-04 5.919106575168487858e-03 7.960848499693661928e+00 1.709697402374760894e-02 1.415494231687314808e-01 2.684420166207627037e-02 1.415494231687314808e-01 -4.566561801767477391e+00 -3.505445883339439295e+00 1.790354337945504426e+01 4.707993608570360146e-05
1.185965918402112296e+00 9.357409833886949635e-02 3.127688301910970736e+01 2.650473841587196233e+00 -8.349101358181062471e-01 -4.578415516454066303e-01 5.762262553293831857e+00 2.286035147459891583e-03 1.061721623743879656e-02 7.973693264390290025e+00 1.969125235561374615e-02 1.331442751431025084e-01 2.587842973539795227e-02 1.331442751431025084e-01 -7.131510783082376292e+00 -3.338629835796428136e+00 1.790354337945504426e+01 4.278977122886993256e-06
