# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185943399411993227e+00 1.797803040763821525e-01 1.548046651572409438e+01 2.122116550727963791e-01 -1.230656634692913531e+00 3.611684797303805761e-01 5.372110310295163060e+00 2.557879648733842395e-02 1.267608001544348259e-02 1.955228784576992673e+00 1.838007306063492788e-02 1.452005740708163795e-01 2.645924578235961042e-02 1.452005740708163795e-01 -5.239341370921351881e+00 -3.822698508522771377e+00 2.038952485717884144e+01 6.183637423016768166e-06
1.185938762797580814e+00 1.709335626426453647e-01 1.613650107132772149e+01 4.869561566272736508e-01 -1.286053309606337125e+00 5.023238497150932513e-01 5.819845590831545401e+00 2.101853241966435831e-02 8.223339067607492170e-03 1.262065502523790173e+01 2.071765183693120849e-02 1.312746591306605815e-01 2.554934114509447088e-02 1.312746591306605815e-01 -6.962379388584395201e+00 -3.568576275884799642e+00 2.038952485717884144e+01 1.423318181323448618e-06
1.186065296765260735e+00 1.758779649096636200e-01 1.612024291218610017e+01 4.269530316964735839e-01 -1.288639622006825469e+00 3.025425723233081676e-01 4.904095684503257502e+00 2.575455681258501106e-02 2.338132439419616376e-02 1.079341539854641496e+01 2.052858004472692816e-02 1.440866110741673978e-01 2.551247822187634184e-02 1.440866110741673978e-01 -8.151464997851405769e+00 -4.102539009017008631e+00 2.038952485717884144e+01 2.540923616991600089e-07
1.185998339847282868e+00 1.971590747628440554e-01 1.635661038517491761e+01 2.363048325789852688e-01 -1.277508400874225236e+00 2.183587816259828229e-01 4.863652178145078331e+00 3.506671544775324251e-02 9.691821095140256553e-03 5.906041746953564875e+00 1.800999491963083468e-02 1.436978048170530209e-01 2.786504500936415329e-02 1.436978048170530209e-01 -5.851355008783230005e+00 -4.117178485410577515e+00 2.038952485717884144e+01 2.497806791287899938e-06
1.185972245863970764e+00 1.662482795887029186e-01 1.674627523937328988e+01 8.527065665903832414e-01 -1.296776472788021550e+00 2.996499104801849112e-01 5.166031766185891883e+00 1.441501832134310310e-02 2.650064551423070985e-02 6.288455890371352552e+00 1.979095536283491386e-02 1.405721169208865862e-01 2.704228821563438301e-02 1.405721169208865862e-01 -2.933573446874731872e+00 -3.949895954114816643e+00 2.038952485717884144e+01 5.462420811473269957e-05
1.185965667582944860e+00 1.667728345161922088e-01 1.615393512085079308e+01 4.408378964709335213e-01 -1.261095757495835690e+00 3.089370446809348025e-01 5.632623059454997971e+00 2.295445636209268031e-02 7.052630520628103833e-03 7.544182087757840272e-01 1.650243153754125253e-02 1.448916879401409841e-01 2.696738382171914514e-02 1.448916879401409841e-01 -4.511005600585406228e+00 -3.677184029449933167e+00 2.038952485717884144e+01 1.481672970012506156e-05
1.185943348770169381e+00 1.798039956658343819e-01 1.695016728938089301e+01 6.926695295076525927e-01 -1.298828052138818245e+00 2.284575616121142239e-01 5.258808887383641384e+00 1.273234506506257940e-02 2.564777857795209198e-02 4.788136226334141377e+00 1.967497804942860973e-02 1.412421391203907139e-01 2.810543316969436878e-02 1.412421391203907139e-01 -3.382284480859084397e+00 -3.889239159668274937e+00 2.038952485717884144e+01 3.705572708604284565e-05
1.185958300561299916e+00 1.835346340589770198e-01 1.642941707085990188e+01 4.488537962135298875e-01 -1.285262201331028198e+00 2.643866746526926104e-01 5.898288257434689541e+00 2.367661147677399547e-02 1.149689809364343868e-02 1.069392528551441934e+01 2.102573657708632984e-02 1.425549110160500843e-01 2.717751025646873014e-02 1.425549110160500843e-01 -4.086365529883039471e+00 -3.518655621384987331e+00 2.038952485717884144e+01 2.654722988005380998e-05
1.185958680122255027e+00 1.649495412220219615e-01 1.656633377288157050e+01 6.830612068419537053e-01 -1.298632832990765040e+00 3.883092802573279712e-01 5.211276064678387776e+00 1.046364860265113633e-02 2.361046251487041239e-02 1.228442689791935116e+01 1.708376783512972549e-02 1.362422932866781677e-01 2.621802456622314079e-02 1.362422932866781677e-01 -5.526511043553909985e+00 -3.923632955530159450e+00 2.038952485717884144e+01 4.194619189067215961e-06
1.186015574809404338e+00 2.002264579455770854e-01 1.551146893692394002e+01 1.536905965391536233e-01 -1.256396798422381167e+00 3.330853275807103553e-01 5.801418006414856166e+00 4.008151650712162700e-02 1.019343446028756102e-02 8.310313504685867159e+00 2.125850588515635145e-02 1.432349770291092284e-01 2.589226646687835948e-02 1.432349770291092284e-01 -1.861563576757532701e+00 -3.565455214067275502e+00 2.038952485717884144e+01 2.343762585960210414e-04
