# mc delta_mc R14 log_alpha_dyn log_f_disk theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186158243914118060e+00 2.867109219126201536e-01 1.475176904055386018e+01 -3.758040131208695289e-01 -8.076186503219560109e-01 5.472414716021594572e+00 4.150994363075935500e-02 7.738650383298303903e-02 7.540017349316692652e+00 2.482234647126226393e-02 1.560341213390252779e-01 2.560720585060369953e-02 1.560341213390252779e-01 -7.101866514844004996e+00 -3.648403635766631403e+00 1.775529634471435259e+01 1.247616228436795118e-06
1.186085949630814484e+00 2.668098505275955379e-01 1.675181099805960372e+01 -5.502067947718974894e-02 -8.082156653807712754e-01 5.465852578520947525e+00 1.613848559746332290e-02 9.465610500669865979e-02 6.438825905040468811e+00 1.685808345214780818e-02 1.357962276367628007e-01 2.706880660951743733e-02 1.357962276367628007e-01 -2.386720473046977986e+00 -3.666595718345618593e+00 1.775529634471435259e+01 1.367546812113710564e-04
1.185933457732563534e+00 8.972158981304592662e-02 2.150750924594220237e+01 1.700363722097873787e+00 -8.249569237391076726e-01 5.543341322650416458e+00 1.189999817998873242e-02 1.089126449627090057e-03 2.007693702430551497e+01 1.904785334266478891e-02 1.422747184129752318e-01 2.646202878255480076e-02 1.422747184129752318e-01 -4.243067727719505910e+00 -3.700714087151458109e+00 1.775529634471435259e+01 2.065015961941355646e-05
1.186103519427051056e+00 2.649210528704703527e-01 1.584645693949911482e+01 -3.314820122791428680e-02 -8.115014039301622351e-01 5.590193302307602252e+00 2.109343433984012597e-02 8.439080929672033993e-02 5.511995916083892721e-01 2.045768695844795912e-02 1.473275026413967126e-01 2.659907359544236988e-02 1.473275026413967126e-01 -2.363814113672106032e+00 -3.595899529283625551e+00 1.775529634471435259e+01 1.501734892936310570e-04
1.186057833817665941e+00 2.315978625636174459e-01 1.796060944079778920e+01 5.162917162810678473e-01 -8.147371381356696141e-01 5.907274266966755505e+00 1.242581813656872675e-02 7.955995381129829513e-02 1.019934052353619336e+01 1.840591200606596020e-02 1.347875892574027512e-01 2.693466550842718923e-02 1.347875892574027512e-01 -6.180876066797111434e+00 -3.436351435678837607e+00 1.775529634471435259e+01 3.873960472001730766e-06
1.186114721811895256e+00 2.954252075677695211e-01 1.541873758284716622e+01 -5.735414185421056077e-01 -8.227108641421129187e-01 5.700609693227788988e+00 7.863582204987633328e-02 1.686430096646487214e-02 1.216977902298093106e+00 1.896032917490532779e-02 1.433142729776154534e-01 2.529046764455989901e-02 1.433142729776154534e-01 -5.676518981641095252e+00 -3.510225798826566379e+00 1.775529634471435259e+01 5.958150317726345215e-06
1.186011560138405807e+00 2.514810368976956312e-01 1.646392659542931369e+01 1.537717824520753451e-01 -8.178211457406520113e-01 5.367349390971662970e+00 3.807044650077481135e-02 4.134794241598312853e-02 1.745249260365071109e+01 1.850170811640799648e-02 1.440062743139352008e-01 2.649009331884612239e-02 1.440062743139352008e-01 -2.580902618359800726e+00 -3.734339680743339773e+00 1.775529634471435259e+01 1.052420110215993975e-04
1.186132474015434202e+00 2.572132728259914347e-01 1.663756856672274509e+01 3.833705159352046588e-02 -8.118502166574635970e-01 5.735869788835886496e+00 3.344869534794912835e-02 6.340331423093681362e-02 3.101491851528426213e+00 1.605536355517630381e-02 1.402492921094331546e-01 2.686663056641928546e-02 1.402492921094331546e-01 -5.749288356836075309e+00 -3.517515464076293341e+00 1.775529634471435259e+01 5.499741235767974087e-06
1.186241329866180916e+00 3.177403806917150630e-01 1.495769531415285947e+01 -1.025732086386674569e+00 -7.729216896072323983e-01 5.129146631487706109e+00 8.748994626187348023e-02 4.654478279654367112e-02 8.183404937129262535e+00 1.975071571806429407e-02 1.428429183520195656e-01 2.707113883523779366e-02 1.428429183520195656e-01 -3.966809130273816209e+00 -3.825387661202385825e+00 1.775529634471435259e+01 2.403012069764008302e-05
1.186160765083345003e+00 2.932467398034999673e-01 1.543883318681381134e+01 -4.922691612286764773e-01 -8.042764643198051511e-01 5.656000065782534669e+00 5.253393310731805516e-02 7.537675524445815178e-02 8.610045007774075998e+00 2.088910309884994820e-02 1.437586193635782550e-01 2.644272861015057111e-02 1.437586193635782550e-01 -1.113931645508102974e+00 -3.537427250819051405e+00 1.775529634471435259e+01 5.556540940681784207e-04
1.186052164248914798e+00 2.549120592207708147e-01 1.633337321772195949e+01 1.695232199173650756e-01 -8.272838073620831789e-01 5.652159741914557500e+00 2.192065929466089844e-02 7.861565523386589149e-02 8.346928842985997576e+00 2.174887914177995110e-02 1.444671283276883766e-01 2.587147600297445491e-02 1.444671283276883766e-01 -1.466584685351733697e+00 -3.566998809236881840e+00 1.775529634471435259e+01 3.791460053975930899e-04
1.186202188996353879e+00 3.143841331994270960e-01 1.495426380172955128e+01 -1.012904739112687746e+00 -8.012827618524875906e-01 5.719035154964741352e+00 6.910277053629551580e-02 5.625276479621235670e-02 6.504680650394627506e+00 1.735716554170711398e-02 1.440325984869127440e-01 2.547925789821575693e-02 1.440325984869127440e-01 -5.519053543945290130e+00 -3.484322633761673949e+00 1.775529634471435259e+01 7.157270450522041887e-06
1.186063100940760062e+00 2.420234234776764692e-01 1.647745780756758904e+01 3.061442622555285986e-01 -8.284011327574549721e-01 5.512586351807976293e+00 1.788959984800288575e-02 7.817251772341139715e-02 1.215570686699100911e+01 2.038128714006959274e-02 1.467110809692260265e-01 2.589499971261467748e-02 1.467110809692260265e-01 -4.896548833594181360e+00 -3.655674161964799662e+00 1.775529634471435259e+01 1.123778620754388139e-05
1.185998298014216079e+00 2.537610027587025030e-01 1.689410980875403823e+01 2.294345434939145667e-01 -8.239237402462125104e-01 5.690195346169196533e+00 4.783012820039749674e-02 2.367537170253872225e-02 9.737774534142227267e+00 2.132081085271718759e-02 1.384774767131691231e-01 2.619379483515065637e-02 1.384774767131691231e-01 -4.279274895117168853e+00 -3.545995217240880848e+00 1.775529634471435259e+01 2.324836371352372049e-05
1.186156054970125995e+00 2.939547557377076292e-01 1.567833978328585509e+01 -4.586447548015171183e-01 -7.993073418301577249e-01 5.300940204156984414e+00 5.869982246713267848e-02 4.927872695651602797e-02 1.186230099125055615e+00 2.199912143840303258e-02 1.401400750546916152e-01 2.692257418303072025e-02 1.401400750546916152e-01 -3.966715467187952981e+00 -3.743125756863766362e+00 1.775529634471435259e+01 2.609291026181349249e-05
