# mc delta_mc R14 log_alpha_dyn log_f_disk theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186057071344545966e+00 1.132138703353878506e-01 2.139028643627844772e+01 1.647435004415969573e+00 -8.244037639104351278e-01 5.321141708806904624e+00 2.558552800659567167e-02 3.995308558382966967e-03 4.010815714594627934e+00 2.041569946538945510e-02 1.393751720450058240e-01 2.649268928265759507e-02 1.393751720450058240e-01 -6.303543016977073421e-01 -2.202446208725441501e+00 1.962632995089770205e+01 8.111577991944522205e-04
1.185976731694952990e+00 1.669120190914125113e-01 2.064692076057665204e+01 1.255318211056347666e+00 -8.200131189283444977e-01 5.981238758548787615e+00 1.752901483901575866e-02 1.563686022591666280e-02 1.579570368490651189e-01 1.724450187938786697e-02 1.325564619849635140e-01 2.674514891697785113e-02 1.325564619849635140e-01 -7.213492661373095416e+00 -1.805223870226440486e+00 1.962632995089770205e+01 1.669537409266978781e-06
1.186050060151775387e+00 1.094748488978047329e-01 1.979172101950094032e+01 1.505302239645030848e+00 -8.039663294590954079e-01 5.041705857630595311e+00 8.747659891064117968e-03 2.517805080234298415e-02 2.469973932914142634e-01 2.041339199286800951e-02 1.493611299764818767e-01 2.775555209473410528e-02 1.493611299764818767e-01 -4.046502832169778685e+00 -2.369097490256391936e+00 1.962632995089770205e+01 2.254837038938885591e-05
1.186052358740051993e+00 1.314696303411501399e-01 2.071474769822846440e+01 1.461555370823227396e+00 -8.341935379629756842e-01 5.370371134996533513e+00 2.760849181463939303e-02 3.569179656749129487e-03 1.088661378801074520e+01 1.817208874478842828e-02 1.399184834546267631e-01 2.589471904005570535e-02 1.399184834546267631e-01 -4.563068198168537037e+00 -2.168151203602274979e+00 1.962632995089770205e+01 1.644536570478133392e-05
1.186062178336128703e+00 1.114372507880361657e-01 2.012850379204317264e+01 1.449619562737120892e+00 -8.114277764929332948e-01 5.154002741426719325e+00 2.815610914275597926e-02 1.523080841168255716e-03 4.536714911533636929e+00 1.691379548699183111e-02 1.469572953705780005e-01 2.728620396322314554e-02 1.469572953705780005e-01 -4.822403907536340739e+00 -2.301622044195044570e+00 1.962632995089770205e+01 1.110324233021655062e-05
1.185991028930277746e+00 1.404302955829200283e-01 1.927672411530739183e+01 1.318532220198728178e+00 -8.096035468448956607e-01 5.372959087962060565e+00 1.999335958635393637e-02 1.196810107231173655e-02 1.626412085286314024e+01 1.971972186451921918e-02 1.473798221494724281e-01 2.738242036336006185e-02 1.473798221494724281e-01 -8.044408264851995227e+00 -2.163709814688391297e+00 1.962632995089770205e+01 5.082128310803383438e-07
1.186070013065009920e+00 1.151919064809291265e-01 2.056892755832877029e+01 1.527741698939279358e+00 -8.045625727047611697e-01 5.529652061381658434e+00 1.628766100600417821e-02 1.482013462835159862e-02 8.128168337095840190e-01 1.891352678159697459e-02 1.436990793631233165e-01 2.772463037099286501e-02 1.436990793631233165e-01 -2.415855127962970528e+00 -2.080327753084505016e+00 1.962632995089770205e+01 1.537119256806801179e-04
1.186077822101677004e+00 1.172069334905274790e-01 2.012746916542916154e+01 1.491638315058831488e+00 -8.253302020578195952e-01 5.740973903632546893e+00 1.016105661667738268e-02 2.474295961471252234e-02 8.079036359281209556e+00 1.952797957495625014e-02 1.460279101839592197e-01 2.642556819256321535e-02 1.460279101839592197e-01 -5.087939591821907470e+00 -1.958328644222187442e+00 1.962632995089770205e+01 1.200105884733766002e-05
1.186062301917412576e+00 1.128546098698807870e-01 2.150627214407494847e+01 1.669742687434903949e+00 -8.219912731333609557e-01 5.675690402430161541e+00 5.107571633659991651e-03 2.964150221938513172e-02 2.357938128276777512e+00 2.088329521124831015e-02 1.388083929751263712e-01 2.664099555544294229e-02 1.388083929751263712e-01 -1.147095864252037245e+00 -1.996879815279080983e+00 1.962632995089770205e+01 5.942424729480365623e-04
1.185930386574192363e+00 1.746163386831877662e-01 1.861975329391182754e+01 1.017518217153235760e+00 -8.057170552539035802e-01 5.543030268426342388e+00 1.361854678040883351e-02 2.242699783259643684e-02 1.794851063825431137e+00 1.744968445023181713e-02 1.448101913141831565e-01 2.759680731255794925e-02 1.448101913141831565e-01 -5.765173528364925915e+00 -2.051576706731379041e+00 1.962632995089770205e+01 5.553969426628464934e-06
1.186049282775348601e+00 1.101144748077065860e-01 2.169443981786780640e+01 1.681784722972067492e+00 -8.440162759100896528e-01 5.414338225313639619e+00 1.310258109229361402e-02 1.921752371433531337e-02 9.472413670635351224e+00 2.014960154451875610e-02 1.382615171189587322e-01 2.532489443198446960e-02 1.382615171189587322e-01 -2.956553845421126425e+00 -2.148746858172636554e+00 1.962632995089770205e+01 8.359321994152042442e-05
1.186065333172928504e+00 1.122911307848667439e-01 1.887491615217636465e+01 1.421653003604303800e+00 -8.282742154764995979e-01 5.645742244743911620e+00 2.728795108561454102e-02 1.421780530259541880e-03 1.477151391013092407e+01 2.111564612667481827e-02 1.550313351537863094e-01 2.623060973157633619e-02 1.550313351537863094e-01 -3.123591904317834178e+00 -2.014208856630021582e+00 1.962632995089770205e+01 8.092010891597800702e-05
1.185923034652696550e+00 1.774325976961186879e-01 1.826722315532862950e+01 1.019400674038937193e+00 -8.239790712579043719e-01 5.580163645357859359e+00 2.972653903155777350e-02 1.001647604433482473e-03 6.785240038563630449e+00 1.975466258627811555e-02 1.469405147151857660e-01 2.644660329141732338e-02 1.469405147151857660e-01 -5.677842877193143067e+00 -2.028909240945844239e+00 1.962632995089770205e+01 6.199762600515796675e-06
1.185971683801144261e+00 1.654817729919191016e-01 1.879847302907215933e+01 1.155681162939008688e+00 -8.247097709929810394e-01 5.391605190162010786e+00 7.450707018368196710e-03 3.416733652481582922e-02 1.423422901785721884e+01 2.030974228478185303e-02 1.455625820655841451e-01 2.642603278520589544e-02 1.455625820655841451e-01 -3.373353442827237814e+00 -2.143405461524411582e+00 1.962632995089770205e+01 5.539582416702849507e-05
1.185937563341796119e+00 1.780636686313761818e-01 1.882962789597173270e+01 1.074141967941644626e+00 -8.193683789722512323e-01 5.134416171316162902e+00 1.107722878868437622e-02 2.471494382671762108e-02 4.696594915645801116e+00 1.995386813391483022e-02 1.423642828019642259e-01 2.674691493942338641e-02 1.423642828019642259e-01 -4.431042299849195842e+00 -2.289697036373643524e+00 1.962632995089770205e+01 1.661862049034531163e-05
1.186077702412216217e+00 1.090786633788312088e-01 2.051949358867420514e+01 1.581064703757816048e+00 -8.338335086156454246e-01 5.822371933043566372e+00 8.228902163908868861e-03 2.513697311224195180e-02 5.720828582381229488e+00 2.060178548263893669e-02 1.449803309286005204e-01 2.591806236499718738e-02 1.449803309286005204e-01 -1.850368725696228012e+00 -1.914270824543760741e+00 1.962632995089770205e+01 3.194572841593338003e-04
1.185971749160290356e+00 1.677259276059804849e-01 1.917725281964310824e+01 1.116766150682679148e+00 -8.311611542631012206e-01 5.562719983067540674e+00 2.590140932062728538e-02 5.821242196436583922e-03 1.200388846231784434e+01 1.758751971989941376e-02 1.422509342649043163e-01 2.604421468937200695e-02 1.422509342649043163e-01 -3.784607341842161077e+00 -2.043079571058192823e+00 1.962632995089770205e+01 4.059221121940899499e-05
1.186063363975481622e+00 1.077631084621710200e-01 2.064038506073469392e+01 1.546680240964768416e+00 -8.414261027680735028e-01 5.351894113156034472e+00 1.347042480293778391e-02 1.963951748928236679e-02 1.833671433865792011e+01 1.834276112637955522e-02 1.444772853035892757e-01 2.547002284106145154e-02 1.444772853035892757e-01 -4.421532921333664490e+00 -2.185866675654415836e+00 1.962632995089770205e+01 1.861306069547779432e-05
1.185999816381428262e+00 1.698025804480768619e-01 2.012742758862188808e+01 1.238402071002739246e+00 -8.178643677798075329e-01 5.749769739510571576e+00 1.670456982115476469e-02 1.926932846831651280e-02 9.114634429763963652e+00 1.937359932427434525e-02 1.351830985382380668e-01 2.687014770173365777e-02 1.351830985382380668e-01 -8.765254525630837179e+00 -1.934870294249757317e+00 1.962632995089770205e+01 3.107204329004192612e-07
1.186072611316583814e+00 1.130877413720575292e-01 2.036686517347975212e+01 1.543851654490304259e+00 -8.243294801153726592e-01 5.019634791583749589e+00 7.462175230769420645e-03 2.825866595842541767e-02 5.155185268117723929e+00 2.018702002947088750e-02 1.452474206040779148e-01 2.648956205682635040e-02 1.452474206040779148e-01 -3.595755561387704802e+00 -2.381317023532989907e+00 1.962632995089770205e+01 3.495950998692714791e-05
1.186037365443689762e+00 1.145543453737902090e-01 2.070645639470531663e+01 1.560105755827096541e+00 -8.244370485313867736e-01 5.512549071713471527e+00 1.074239120870048442e-02 2.271947213501942717e-02 1.561677852968622204e+01 1.965763326741926109e-02 1.429963582353264151e-01 2.648572016158812908e-02 1.429963582353264151e-01 -1.924518198328030394e+00 -2.090438701273282796e+00 1.962632995089770205e+01 2.487146411032198595e-04
1.186060883523433196e+00 1.149790555782485429e-01 2.126054306409661265e+01 1.577082610124543649e+00 -8.133163903605492573e-01 5.321419766762586434e+00 1.348529769024742371e-02 1.859924334696819517e-02 4.580760451072228290e-01 1.812884656055857233e-02 1.397878460370520770e-01 2.717669001952961044e-02 1.397878460370520770e-01 -1.795868554014816709e+00 -2.201789994026021713e+00 1.962632995089770205e+01 2.530544217120142742e-04
1.186052781903572440e+00 1.092838260560871910e-01 1.915865831418965470e+01 1.398121099313163862e+00 -8.235070970592789363e-01 5.676035458472621364e+00 1.548198951118387630e-02 1.583714880996240498e-02 5.507795063699203908e+00 1.834044956857983077e-02 1.535319944523945157e-01 2.652573378286003300e-02 1.535319944523945157e-01 -4.934380098401845771e+00 -1.997653878883265399e+00 1.962632995089770205e+01 1.345336340311601147e-05
1.186056019475016488e+00 1.122365391666338141e-01 2.011864453970304467e+01 1.491960029574903590e+00 -8.373927026823370090e-01 5.596930641440406085e+00 2.335580706516376254e-02 8.672277608990702422e-03 7.582172577655132528e+00 1.880463850134766329e-02 1.468902748611493614e-01 2.570244682339744083e-02 1.468902748611493614e-01 -3.770671280512829071e+00 -2.042305430663106769e+00 1.962632995089770205e+01 4.119374432443784261e-05
1.185919090891581540e+00 1.636719583874607087e-01 1.852203963698467959e+01 1.148876109412448665e+00 -8.268168188386352258e-01 4.996231142102518064e+00 1.570281480053361406e-02 1.802252053892158118e-02 2.126790631633795314e+01 2.076043530335839465e-02 1.480666803663166498e-01 2.629149433752355283e-02 1.480666803663166498e-01 -7.324403512544563455e+00 -2.378342179184572025e+00 1.962632995089770205e+01 8.424149490688668393e-07
