# mc delta_mc R14 log_alpha_dyn log_f_disk theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185984166378199589e+00 2.135051511249626277e-01 1.678693999590757358e+01 2.838515301828963278e-01 -1.345876852382554389e+00 5.556117490415316773e+00 3.081441813059210971e-02 2.434746043475631908e-02 1.280199423133197811e+01 2.243809050299352612e-02 1.513597608197532196e-01 2.564355820037877987e-02 1.513597608197532196e-01 -1.779669143554542643e+00 -2.312819916009727361e+00 2.128972044601108848e+01 2.371254184788833318e-04
1.185972064384711810e+00 2.115249900344050860e-01 1.766227674562453487e+01 4.684723200980894786e-01 -1.376580997447062638e+00 5.431665086415973676e+00 2.981040683419862447e-02 2.264242916314035750e-02 3.907580549618298260e+00 1.850563982135293092e-02 1.434140177833269636e-01 2.632405673484211617e-02 1.434140177833269636e-01 -1.629459622069987290e+00 -2.386100648840857819e+00 2.128972044601108848e+01 2.560871923762562583e-04
1.185958947604389691e+00 2.092259694686822713e-01 1.707985069829416602e+01 3.540644797051487602e-01 -1.338456020187168916e+00 5.682120294128064408e+00 3.546109963520535646e-02 1.438800142346783467e-02 1.067278186594753464e+01 2.066461258385586530e-02 1.495554393605914578e-01 2.689450836643278095e-02 1.495554393605914578e-01 -2.664760234960454000e+00 -2.242632183610928642e+00 2.128972044601108848e+01 1.049711797646365617e-04
1.185981301742888405e+00 2.044550683609513142e-01 1.681961393313558162e+01 3.639491442934613130e-01 -1.339535408184611809e+00 5.771594830676440857e+00 2.576766003854823531e-02 2.641838395603475845e-02 6.986736563244345000e+00 2.206413220698762168e-02 1.533626578464273305e-01 2.587524798342372492e-02 1.533626578464273305e-01 -2.793416869530972235e+00 -2.194004249976987619e+00 2.128972044601108848e+01 9.689783084181878309e-05
1.185959228506675567e+00 2.100795674716862127e-01 1.736136530963337776e+01 4.314550463610379305e-01 -1.347007767199948969e+00 5.155946372546270418e+00 3.392954416167275750e-02 1.293713341817746484e-02 4.039575289023300542e+00 2.089912398078176692e-02 1.466159966456087593e-01 2.724785413973339690e-02 1.466159966456087593e-01 -3.961365389061825226e+00 -2.549067674685691731e+00 2.128972044601108848e+01 2.112897220359067474e-05
1.185981666043312455e+00 2.018279765624728384e-01 1.781170654336636616e+01 8.217417185411981517e-01 -1.383681976561774052e+00 5.701722234841018810e+00 3.309097779144484774e-02 1.619047219357209327e-02 8.574597791006347336e+00 2.164844611837623417e-02 1.446905961871436386e-01 2.608757622145049804e-02 1.446905961871436386e-01 -2.079638888281237996e+00 -2.235204554097820928e+00 2.128972044601108848e+01 1.898500993986335908e-04
1.185964790295691795e+00 1.688376638133063934e-01 1.701526896684126555e+01 1.119021875272192545e+00 -1.323219142883373500e+00 5.436427724262773431e+00 2.418213040072638223e-02 6.531993222159320281e-03 5.215958927848977744e+00 2.233228716831557950e-02 1.596842261850295319e-01 2.645157579747937915e-02 1.596842261850295319e-01 -5.980139087695249600e+00 -2.403557084162383450e+00 2.128972044601108848e+01 3.245865656263382412e-06
1.185978373938118446e+00 1.886363851072857256e-01 1.751249368741626355e+01 9.436204682016299250e-01 -1.346430648612177094e+00 5.572405265232952765e+00 2.490651292864156860e-02 2.227425388598188935e-02 2.427488793767272668e+00 2.098749430291516060e-02 1.507054287349069988e-01 2.719129651042181614e-02 1.507054287349069988e-01 -3.657244837523023762e+00 -2.315928435934616836e+00 2.128972044601108848e+01 3.615824424461890291e-05
1.186002840945535652e+00 1.915030507128143156e-01 1.764467283813170084e+01 9.355830382525152089e-01 -1.371739032605308717e+00 5.663363907921833196e+00 1.923647078464006330e-02 3.724253565965864737e-02 1.084023226828068331e+01 1.860569757074674938e-02 1.488251702555921652e-01 2.610096289796278238e-02 1.488251702555921652e-01 -3.479940449804701075e+00 -2.262224003306030795e+00 2.128972044601108848e+01 4.555469990032949020e-05
1.185972990799953442e+00 2.071027671306914786e-01 1.775042884851351843e+01 6.413070285169591989e-01 -1.391815247742631101e+00 5.597384076827413679e+00 3.339284087142239260e-02 1.744710966998394563e-02 4.821933175833671648e+00 2.092311169287293035e-02 1.438229168890119425e-01 2.555531866555825829e-02 1.438229168890119425e-01 -3.280442849609016776e+00 -2.292402453586544375e+00 2.128972044601108848e+01 5.395945598264456964e-05
