# mc delta_mc R14 log_alpha_dyn log_f_disk theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186070272084509103e+00 2.144031451902487229e-01 1.616568614949503058e+01 -2.782302718016045340e+00 -8.446891402727718656e-01 5.617750669236946770e+00 3.647617360505878842e-02 2.826395527507754440e-02 8.164554810720753508e+00 2.148691951089683888e-02 1.577331218973533344e-01 2.601744260217656729e-02 1.577331218973533344e-01 -6.634355836718725641e+00 -2.276731161501024836e+00 2.655369814276319573e+01 4.432186315085004956e-06
1.186055541976607008e+00 2.068292748382820068e-01 1.632424203017580666e+01 -3.016021211453436379e+00 -8.101337435851887481e-01 5.671063576223279057e+00 3.659878304927662029e-02 2.445205195770542433e-02 1.201757313090627166e+00 2.127627585210980707e-02 1.578995579529451909e-01 2.662177100615334413e-02 1.578995579529451909e-01 -4.383050827343879519e+00 -2.250136249999478366e+00 2.655369814276319573e+01 4.324116383189320986e-05
1.186057577467951152e+00 2.301148444148642669e-01 1.566806643240466101e+01 -1.951214620717460768e+00 -8.914285556201471117e-01 5.397427889439790683e+00 3.335998196895505891e-02 3.368807007841823076e-02 3.311909848375158560e+00 2.519465944955439837e-02 1.594417581622947777e-01 2.593752859930406607e-02 1.594417581622947777e-01 -6.512877491015785836e+00 -2.395645095548688541e+00 2.655369814276319573e+01 4.443566851282879607e-06
1.186049533700995751e+00 2.291258872902493526e-01 1.551999749701573528e+01 -1.739489671976807594e+00 -8.970359644376965091e-01 5.571464092548577440e+00 3.395918314152904932e-02 3.282564887655999714e-02 5.179526819111430314e+00 2.131433851396121251e-02 1.615029080471392375e-01 2.544915976416514333e-02 1.615029080471392375e-01 -6.442144347851581188e+00 -2.295177939715356441e+00 2.655369814276319573e+01 5.273307094056640758e-06
1.186051871805983371e+00 2.262551123508138584e-01 1.603482164933544851e+01 -2.701438629927467971e+00 -8.940682936805556258e-01 5.737061204919108093e+00 3.589402291304867598e-02 2.961682422404243384e-02 7.678758653641603260e+00 2.235597707127205680e-02 1.561363878544417272e-01 2.516499410053105179e-02 1.561363878544417272e-01 -3.624772160937766330e+00 -2.201805996476273286e+00 2.655369814276319573e+01 9.687309548487654885e-05
1.186075032488727032e+00 2.251694292677685894e-01 1.602446753236274546e+01 -2.688602761257197216e+00 -8.714788004873130767e-01 5.611455725942397166e+00 3.594751798541021004e-02 2.993592798518139239e-02 8.717838127102657708e+00 2.071718482178755774e-02 1.565451253892518046e-01 2.632415852761527120e-02 1.565451253892518046e-01 -3.293110241796853188e+00 -2.274381830240188584e+00 2.655369814276319573e+01 1.255228625063900755e-04
1.186101558112070409e+00 2.244007427297539381e-01 1.604897124894306160e+01 -2.772914507479190771e+00 -8.551149768210555280e-01 5.008062880632779823e+00 3.442567273565094038e-02 3.309555275345413272e-02 9.106187986976330251e+00 1.875246841999049507e-02 1.564712346548395860e-01 2.719875944253577829e-02 1.564712346548395860e-01 -6.816390332031346588e+00 -2.629355674812735355e+00 2.655369814276319573e+01 2.596680707724483856e-06
1.186046120117565161e+00 2.227001535353584916e-01 1.581815759149541201e+01 -2.162370990872344745e+00 -8.614040727488790905e-01 5.472698019362550959e+00 2.871406503983800484e-02 4.066400857598338747e-02 6.170215385626632631e+00 2.247473115225238557e-02 1.595691711822157521e-01 2.651107907949512565e-02 1.595691711822157521e-01 -5.635252672265664842e+00 -2.356049298893501565e+00 2.655369814276319573e+01 1.111925193163069121e-05
1.186047527986823225e+00 2.186175844694670523e-01 1.634769174582173790e+01 -3.327678510658234945e+00 -8.397259701838735158e-01 5.686903265308872690e+00 3.322027405952242274e-02 3.081759539093029826e-02 7.992763385185503111e+00 2.211156565113102379e-02 1.546535682126219946e-01 2.710983128939349618e-02 1.546535682126219946e-01 -6.020415850781546396e+00 -2.234765539750724894e+00 2.655369814276319573e+01 8.540320999444787843e-06
1.186070459073643946e+00 2.270748020389476429e-01 1.584859588868133073e+01 -2.355851807919568941e+00 -8.938721800229761927e-01 5.757115467933082265e+00 3.472295186827508567e-02 3.115459146628658110e-02 7.278794344079121181e+00 2.000303105739510354e-02 1.580853363800971967e-01 2.530764000067155239e-02 1.580853363800971967e-01 -6.026211400976649202e+00 -2.189887001395678379e+00 2.655369814276319573e+01 8.880710659376917982e-06
